,smiles,pred_pIC50,target_pIC50
0,Cc1cc(C2(c3cccc(-c4ccncc4)c3)N=C(N)N(C)C2=O)ccn1,6.934503,6.9090895652771
1,CN1C(=O)N2SC2(c2cccc(-c3cccnc3F)c2)N=C1N,4.358152,6.642729759216309
2,CCCN(CCC)C(=O)c1cc(C(=O)NC(c2cccc(C)c2)N(C)S(C)(=O)=O)cc(C(O)CNCc2cccc(OC)c2)c1,6.808485,5.546719551086426
3,Cc1cccc(C(=O)NC2(c3cccc(-c4ccccc4)c3)CC(C)C(=O)N(C)C(N)=N2)c1,4.612567,5.259675979614258
4,CC1=N[C@](c2cccc(-c3cncnc3)c2)(c2ccc(C)s2)N=C1N,4.22017,5.4572038650512695
5,CC1CCCCC(C(=O)NC(O)c2cc(COc3cc(F)cc(F)c3)cc(N(C)S(C)(=O)=O)c2)CNC(=O)C(C)(N)CCC1,7.8528366,3.5728540420532227
6,COc1ccc(-c2ccc([C@@]3(C)N=C(N)N(C)C3=O)cc2)cc1,7.9150696,6.195862770080566
7,CN1C(=O)C(CC2CCCCC2)(C2(c3cccc(-c4cccnc4)c3)CCCC2)N=C1N,5.9582267,5.925820827484131
8,CC(NC(=O)c1cccc(C2(C)CN(C)CC(=N)N2)c1)c1cc(F)cc(F)c1,8.528114,5.285645484924316
9,COc1cccc(C2(c3ccc(-c4cccnc4F)cc3)N=C(N)CN3CCN=C32)c1,3.7400234,7.404838562011719
10,CCCCN(CCC)C(=O)c1ccccc1-c1ccc(-c2ccccc2)c(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@@H](O)CNCc2cccc(OC)c2)c1,7.3426466,8.53363037109375
11,CC(C)(C)CCC1(NCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)Cc2cc(OCCCO)cc(N3CCCCS3(=O)=O)c2)CC1,4.4996176,8.152443885803223
12,CC(C)c1cccc(CN2CCCCC(COCc3cc(F)cc(F)c3)NC(=O)C2Cc2ccccc2)c1,5.8866515,6.165672302246094
13,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cc(CC(C)(C)C)ccn2)CC1,8.158988,5.497966289520264
14,CCOC(=O)c1cc(C(C)=NO)cc(C(NC(Cc2ccccc2)C(O)CNCc2ccc(OC)cc2)c2cc(F)cc(F)c2)c1,6.0195856,8.75605583190918
15,CN1CCC(c2ccncc2)(c2cccc(-c3cccnc3)c2)N=C1N,8.084248,4.613865375518799
16,COc1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNC2(c3cccc(C(C)(C)C)c3)CCCCCC2)c1,7.771967,6.444039821624756
17,CC1=NC(c2ccnc(C(F)F)c2)(c2ccc(-c3cncnc3)c(C)c2)N=C1N,3.5354176,9.119200706481934
18,O=C(O)C(Cc1cscc1-c1cc[nH]n1)NC(NC1CC1)C1=C(Cl)C=C2N=C(c3cccnc3)C=C21,6.3409433,4.847585678100586
19,NC1(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)N=C2NCCCN2CCC1(F)F,7.507611,4.613272666931152
20,COc1ccc(-c2cccc(CC3(C)CCCOC(=N)N3)c2)cc1,5.932259,4.4138922691345215
21,CC/C=C/CCNC(=O)c1cccc(-c2ccc(N)n2Cc2cccc(-c3ccccc3Cl)n2)c1,7.769091,8.409597396850586
22,CCn1cc2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)CNC4CCCCC4)cc31)N(C)S(=O)(=O)CC2,5.1509433,6.097440719604492
23,CN1C(=O)C(c2cccc(-c3ccncc3)c2)(c2ccc(=O)n(C)c2)N=C1N,5.902753,5.831564903259277
24,CCC#Cc1cccc(C2CC(=O)N(Cc3ccccc3)C(O)CN2Cc2cccc(C(F)(F)F)c2)c1,8.680925,6.175149917602539
25,CN(c1ccccc1)S(=O)(=O)c1cc(COCC(=O)NC2CC2)cc(C(=O)NC(Cc2ccccc2)C(O)CNCc2cccc(C(F)(F)F)c2)c1,4.711527,3.8496673107147217
26,N#Cc1cccc(C2(c3ccc(-c4cccnc4F)cc3)CC(=O)C(=N)N2)c1,6.7814784,6.119489192962647
27,CCCN(CCC)C(=O)c1cc(C(=O)NC(O)CCc2cc(F)cc(F)c2)cc(/C(C)=N\OCc2ccccc2)c1,6.3866124,7.406002998352051
28,CCn1c2cc3c1=CC(C(=O)NC(Cc1ccccc1)C(O)CNC1CCCCC1)=CC=2N(C)S3(=O)=O,6.4069695,6.989214897155762
29,CCCOc1ccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(=O)NC(C)c3ccccc3)nc(C(C)N(CCC)CCC)c2)cc1,7.964577,6.875999927520752
30,CN1C(=O)C(c2ccnnc2)(c2cccc(-c3cccnc3)c2)N=C1N,3.5907142,6.025522708892822
31,CN1C(=O)[C@](CCc2ccccc2)(c2ccc(-c3cncnc3)cc2)N=C1N,5.1202855,6.612530708312988
32,CCCN(CCC)C(=O)c1cc(COC)cc(C(=O)NC(CNCc2cccc(OC)c2)COc2cc(F)cc(F)c2)c1,6.8509803,8.580451011657715
33,CC(C)Cc1cnc2c(c1)C(NCC(O)C(Cc1ccccc1)NC1CCCOCCc3ccccc31)CCC2,7.9490395,6.918910980224609
34,CCCN(CCC)C(=O)c1cc(C(=O)NC(COC)Cc2cc(F)cc(F)c2)cc(C(=O)NC(COCc2cccc(OC)c2)C(O)CC(COC)C(OC)C(=O)NC(C)C)c1,5.065176,6.846672534942627
35,CCCNC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N2CCCC2=O)c1,6.8655357,6.349295616149902
36,COCC(CC(O)C(COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)OCc1ccccc1,7.0355754,5.143645763397217
37,CCCCN(CCC)C(=O)n1cc2ccccc2c1NC(Cc1ccccc1)C(O)CNCc1cccc(OC)c1,4.574494,5.398630142211914
38,Cn1nnc(C(CCc2ccccc2)Nc2cccc(-c3ccccc3)c2)cc1=O,6.3628483,4.0871124267578125
39,CC(=O)NC(Cc1cccnc1)C(O)CNC1(c2cccc(N3CCCCCC3=O)c2)CC1,6.3570085,6.412699699401856
40,CCC(C)(C)Cn1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cn1,6.7028546,5.9105544090271
41,CN1C(=O)C(C)(c2ccc(-c3cccc(-c4cncnc4)c3)cc2)N=C1N,4.5244203,5.5271172523498535
42,COc1cccc(C2(C3=CC(c4cc(OC)ccc4-c4cncnc4)=C3)N=C(C)C(=N)N2)c1,7.3537197,6.374000549316406
43,CC(C)(Cc1ccccc1-c1ccc2nc(N)ccc2c1)CC1CCCCC1,6.1146045,5.708065986633301
44,CCNc1cc(C(=O)NC(Cc2cccc(C)c2)C(O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,6.7221303,5.123688697814941
45,CC1(c2ccc(NC(=O)c3ccc(Cl)cn3)cc2)CCCC(=O)C(=N)N1,6.5925975,6.511622905731201
46,CN1C(=O)CCC1c1cccc(-c2ccsc2)c1,6.724922,3.96112585067749
47,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)c3ccccc32)cc1,7.6002007,4.198897838592529
48,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2cccc(C(F)(F)F)c2)N=C1N,8.360235,4.6707940101623535
49,O=C1C(Cc2cc(F)cc(F)c2)NC(Cc2ccccc2)C(O)CNC12CCCOCC2,6.255019,6.152309894561768
50,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(C(F)(F)F)N=C1N,5.5485086,6.055387020111084
51,Nc1nc2ccc(-c3ccccc3)nc2cc1CCCC(=O)NCc1ccccc1,6.217443,5.046255588531494
52,COc1cccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)c2cccc(N3CCCCCC3=O)c2)c1,4.714923,6.217838764190674
53,COc1cccc(C2(c3ccc(F)cc3-c3ccccn3)COC(=N)N2)c1,5.507503,5.303241729736328
54,CN1C(=O)C(c2ccc(-c3cccnc3F)cc2)(C2CCCCC2)N=C1N,6.413699,8.250069618225098
55,Cc1cc([C@]2(c3cccc(-c4ccc(C#N)cc4)c3)N=C(N)N(C)C2=O)cs1,7.522438,7.348176002502441
56,COc1cccc(CNCC(O)C(Cc2ccccc2)NC(=O)c2ccc(N3CCCC3=O)cc2F)c1,6.2104197,6.904225826263428
57,N=C1CC(=O)C(N)(c2cccc(-c3ccccc3Cl)c2)N1,5.9862285,4.57489538192749
58,COc1cc(C2(c3ccc(-c4cocn4)cc3)CC(=O)N(C)C(N)=N2)cc(OC)c1OC,4.696499,6.922138690948486
59,CC1(c2cccc(-c3ccc(Cl)nc3)c2)N=C(N)N2CCCN=C21,5.477933,5.177953720092773
60,CS(=O)(=O)n1c(-c2cccc(C(=O)NC(COc3ccccc3)C(O)CNCc3cccc(C(F)(F)F)c3)c2)cc2ccccc21,7.5738773,9.177779197692873
61,CN1c2cc(C(=O)NC(Cc3ccccc3)[C@H](O)CNC3CCOCC3)cc3c2N(CC(C)(C)C3)CS1(=O)=O,5.7848268,8.432805061340332
62,CN1C(=N)N=C1NC(C)(c1cccc(-c2cccnc2)c1)C1CCCCC1,6.2975206,5.721042633056641
63,CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2ccccc2)C(=O)NCCC)cc2c(Cc3ccccc3)ccc1-2,7.136027,6.090413093566895
64,NC1=NC(Cc2cccc(OC(F)(F)F)c2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12,7.6229773,6.208691596984863
65,CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2ccc(F)c(F)c2)C(O)CNCc2cccc(OC)c2)ccc1C,4.901291,6.372847557067871
66,CC#Cc1cncc(-c2cccc(C3(C)CCOC(=N)N3)c2)c1,6.4240155,6.678479671478272
67,CCc1cn2c3cc(C(=O)NC(Cc4cc(F)cc(F)c4)CC(O)CNC4CCOCC4)cc(c13)N(C)S(=O)(=O)C2,8.488432,8.275449752807617
68,Nc1ccc(Cn2c(-c3ccccc3)ccc2-c2ccccc2Cl)nc1N,7.3627715,4.676126003265381
69,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cc(C(C)(C)C)no2)CC1,6.628512,5.818783283233643
70,CC(C)C1(c2ccncc2)N=C(N)N(C)C1=O,5.605689,5.573845863342285
71,CN1C(=O)[C@@](c2cccc(OC(F)(F)F)c2)(c2cccc(-c3ccccn3)c2)N=C1N,8.089136,5.555127143859863
72,NC1=NC(c2ccccc2)(c2cccc(-c3ccncc3)c2)C2=NCCCN12,2.9142656,7.619056701660156
73,CCOCc1ccc(C2(c3cccc(-c4cncc(F)c4)c3)N=C(N)N(C)C2=O)cn1,5.4317207,7.577759742736816
74,NC1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)C2=NCCN12,5.6569047,6.312232494354248
75,CCCCCNC(=O)CC(CC(C)C)n1c(N)nc2ccc(Cl)cc21,5.565985,3.1056816577911377
76,COc1ccc([C@]2(c3ccc(-c4cncnc4)cc3)N=C(N)N(C)C2=O)cc1C,6.8170743,6.1183953285217285
77,CC(O)c1cccc(CNC2c3ccc(cc3CC(C)(C)C)CS(=O)(=O)CC2O)c1,5.922452,6.463210105895996
78,COc1cccc(-c2cccc(CC(C)CN3C(=O)CC(C)(C4CC4)N=C3N)c2)c1,5.3853097,5.934182167053223
79,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)cc(C(F)(F)F)c2)CC1,7.0659113,6.615695476531982
80,CCn1ccc(C2(c3cccc(-c4cncnc4)c3)CSCC(=N)N2)c1,5.115397,7.767183303833008
81,CC(=O)NC(Cc1cc(F)ccc1F)C(O)CNC1(c2cccc(C3CCCCC3)c2)CCCCC1,5.6899943,5.725755214691162
82,CC(=O)NC(Cc1ccc(F)cc1)C(O)CNC1(c2ccc(CC(C)(C)C)nn2)CCCCC1,7.7655883,7.691990852355957
