,smiles,pIC50
0,COc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,5.6108341
1,CC(C)NC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,5.7495799
2,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,5.939302
3,CCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,5.782516
4,CCCCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,5.5228786
5,CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2ccc(NCCO)c(N)n2)cc1,6.7695513
6,CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,5.6478176
7,CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2ccc(NCCCO)c(N)n2)cc1,6.6575775
8,N#CCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.3767509
9,CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.2596374
10,CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2ccc(OCCO)c(N)n2)cc1,6.9586072
11,C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.2291479
12,Nc1cccc(Cn2c(-c3ccccc3)ccc2-c2ccccc2)n1,5.2839966
13,CCCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,5.5228786
14,Nc1nc2ccccc2nc1N1CCCC1,3.0604808
15,CN1C(=O)C(c2ccncc2)(c2cccc(-c3cnccn3)c2)N=C1N,7.154902
16,COCc1cc2cc(c1)C(=O)NC(C(O)CNC(CF)c1cccc(C(C)(C)C)c1)Cc1cccc(c1)OCCCCN2,6.7520266
17,CC(C)c1cccc(CNCC(O)C2Cc3cccc(c3)OCCCCNc3cccc(c3)C(=O)N2)c1,6.5346169
18,COCc1cc2cc(c1)C(=O)NC(C(O)CNC(COC)c1cccc(C(C)(C)C)c1)Cc1cccc(c1)OCCCCN2,6.1752234
