,smiles,pred_pIC50,target_pIC50
0,CCCO/N=C(/C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2cccc(OC)c2)cc(C(=O)N(CCC)CCC)c1,4.422739,7.168222427368164
1,COCC(c1cccc(CNC2CS(=O)(=O)CC(Cc3ccc(F)c(O)c3)C2O)c1)C(N)C(F)(F)F,5.812719,7.099419116973877
2,CC(=O)NC(O)C(CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21)Cc1ccc(Cl)cc1,5.826306,8.077302932739258
3,CC(=O)NC(Cc1cc(F)ccc1F)C(O)CNC1(c2ccn(CC(C)(C)C)c2)CCC1,6.2622485,8.282594680786133
4,CC(C)(O)c1ccc(C(=O)NC(COc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc1,7.1279936,5.079773902893066
5,N=C1NC(c2ccccc2)(c2cccc(-c3cccnc3F)c2)CCO1,6.7809825,5.067580699920654
6,CC(Oc1cc(CC2CS(=O)(=O)CC(NCc3ccn(C)c3)C2O)cc(F)c1N)C(F)(F)F,5.0004587,5.789488792419434
7,CC(C)(C)c1cc(F)ccc1CNC1CS(=O)(=O)CC(Cc2cc(N)c(OCC(F)(F)F)c(O)c2)C1O,6.120439,8.327255249023438
8,CC(C)CC(C)CC1=C2C=C(C=CC(=C3CS(=O)(=O)CC(NCCC4CC4)C3O)C2)NN=C1,6.0989122,3.951038599014282
9,COc1cccc(C2(c3ccc(-c4cccc(Cl)c4)cc3)COC(=N)N2)c1,3.8579707,6.356007099151611
10,COc1cccc([C@]2(c3ccc(-c4cncnc4)cc3)N=C(N)N(C)C2=O)c1,4.688632,6.760130405426025
11,CC(C)(C)c1ccc(CNC2CS(C)(C)CC(=O)Cc3cc(F)c(c(OC(CO)C(F)(F)F)c3)C2O)cc1,5.792341,7.657796859741211
12,CCCCN(CCC)C(=O)C1=CC(/C(C)=N/OCc2ccccc2)=CC(C(=O)NC(C)Cc2ccccc2)=CN1S(C)(=O)=O,8.596744,7.478070259094238
13,CC(=O)NCc1ccccc1,4.2850475,3.714835643768311
14,CC(NC(=O)CCCc1ccccc1)C(O)CNC1(c2cccc(N3CCCC3=O)c2)CCCC1,6.69445,6.950314998626709
15,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@H](O)[C@H]2c2cc(Br)ccc2O)c1,2.7331765,5.879786014556885
16,CC(=O)NC(Cc1cc(F)cc(C#N)c1)C(O)CNC1C=C(CC(C)(C)C)C=NC2=C1CC1(CCCC1)O2,6.168322,6.454746723175049
17,CC(=O)NC(Cc1cccc(F)c1)C(O)CNC1(c2ccc(C3CCCC3)cc2)CCCCC1,5.0313096,5.733520984649658
18,CN1CC2(COCN(C)C(N)=N2)c2ccc(cc2F)-c2ccc(cc2)C1=O,6.7995963,6.954745769500732
19,CC(C)NC(=O)C(C)NC(=O)CC(O)C(NC(=O)C(c1ccccc1)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1)C(C)C,6.1046286,5.994993209838867
20,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1OC(F)F,6.882728,8.103947639465332
21,O=C(NC(Cc1ccccc1)Cc1ccccc1)C1=CC2=C(CCC2)OS(=O)(=O)CCN2NCCCCCC2=C1,6.6596274,7.248377323150635
22,CN1C(=O)C2(CCN(c3ccc(OC(F)(F)F)cc3)CC2=O)N=C1N,7.679332,6.716491222381592
23,CCCCNC(Cc1cc(F)cc(F)c1)C(NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(O)CCCCO,6.1543136,6.256441116333008
24,CN1C2=Nc3ccn(c3C=C(C(=O)NC(Cc3ccccc3)C(O)Cc3ccccc3)C2)CCS1(=O)=O,6.2852182,4.079911231994629
25,CC1=NC(C)(c2ccc(-c3ccccc3)cc2)N=C1N,6.7709794,4.907595157623291
26,CC(C)c1cc(C(O)NC(Cc2ccccc2)C2CCCCCCC(=O)NC2)cc(N(C)S(C)(=O)=O)c1,8.294205,6.308578968048096
27,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](NCc3cccc(C(C)(C)C)c3)C2O)c1,6.359197,6.254806518554688
28,CCCN(CCC)C(=O)c1cc(CC)cc(CN[C@@H](Cc2cc(F)cc(F)c2)[C@@H](O)CNCc2ccc(OC)cc2)c1,6.899466,4.976897716522217
29,CCC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(C(C)(C)C)CCCCCc2csc1c2,8.028067,7.533525466918945
30,N#Cc1cccc(-c2cccc(C3(N=C(N)c4ccncc4)CCC3)c2)c1,7.2069664,6.427333831787109
31,COCC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CC2(CCCC2)Oc2nc(C(C)(C)C)ccc21,5.979964,7.793052673339844
32,CC(=O)NCC1CCCCC1,5.566862,3.598268985748291
33,CC(NC(=O)c1cc(C(=O)NC(Cc2cccc(C(F)(F)F)c2)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,8.216032,6.127299785614014
34,CC(C)(C)Cn1cc(C2(NO)CS(=O)(=O)CC2C(N)Cc2ccc(F)c(C(F)(F)F)c2)cn1,4.768281,8.084794998168945
35,CN1C(=O)[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2)N=C1N,6.958051,6.43276834487915
36,COC(=O)C1=CN(C(C)C(=O)O)C(C)=NC(C)(O)CCC(C)C(C(=O)NCc2ccc(Cl)cc2)[C@@H]1C,6.38762,4.914061546325684
37,CC(=O)NC(Cc1ccccc1F)C(O)CNC1(c2cccc(F)c2)CCCCCC1,7.235896,3.704029083251953
38,COc1cc(C2(c3cccc(-c4cncs4)c3)N=C(N)c3c(F)cc(F)cc32)ncc1F,7.6179633,7.850786209106445
39,CC(=O)NC(Cc1ccc(F)c(F)c1)C(O)CNC1(c2csc(C(C)(C)C)c2)CCCC1,4.22475,5.076913833618164
40,Cc1cccc(C2(c3ccccc3)N=C(N)N(C)C2=O)c1-c1cncnc1,4.0513687,6.600306510925293
41,N=C1N[C@](c2cccc(F)c2)(c2cccc(-c3cncnc3)c2)C(F)(F)O1,5.3089027,5.918529987335205
42,COc1cccc(-c2cc(C3(c4cccc(C)c4)N=C3N)ccn2)c1,5.9513755,6.719677448272705
43,COc1cccc(C2(c3cccc(-c4ccsc4)c3)N=C2N)c1,6.1800137,7.60936164855957
44,NC1=NC(c2ccc(-c3cncnc3)cc2)(c2cccc(OC(F)F)c2)C2=NCCCN12,5.3158684,7.203196048736572
45,COc1cc(NC(=O)c2ccc(-c3cncnc3)cc2)cc(C2(C)N=C(N)N(C)C2=O)c1,7.6170654,7.267181396484375
46,CC1(N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)CCCCCC1,6.778422,3.5952937602996826
47,COc1cccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)c2cccc(C(=O)CN3CCCC3OC)c2)c1,7.2355504,5.590061187744141
48,N=C1NC(c2ccncc2)(c2ccc(-c3cccc(Cl)c3)cc2)C1=O,6.7532787,6.08454179763794
49,CC1(C)Cc2cccc(Cl)c2C(=NC(=O)CCc2ccccc2)N1,4.867525,5.296953201293945
50,CC1(c2cc(NC(=O)n3ccc(C#N)c3)ccc2F)N=C(N)OCC1(F)F,3.9815118,5.842162132263184
51,CCCO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2ccc(C(C)C)cc2)cc(C(=O)N(CCC)CCC)c1,7.053964,6.9862165451049805
52,C#Cc1ccc(CNC2CS(=O)(=O)CC(Cc3cc(F)c(N)c(Br)c3)C2O)cc1,6.1437764,6.709142684936523
53,CC(C)(CNC(Cc1cscc1Cl)C(=O)O)NC(=O)c1cc(Cl)cc(Cl)c1,6.2619967,7.073344230651856
54,CC(=O)NC(Cc1cc(C(=O)CNC(C)C)cc(N(c2ccccc2)S(C)(=O)=O)c1)C(O)CNC1CCCCC1,3.2174041,6.715880870819092
55,CN1C(=O)C(Cc2cccc(N3CCCC3=O)c2)(c2ccc(-c3cncnc3)cc2)N=C1N,6.603635,6.5289154052734375
56,CCCc1cnc2c(c1)C(NCC(O)C(Cc1cc(F)cc(-c3nccs3)c1)NC(C)=O)CC1(CCCC1)O2,7.263014,9.94503402709961
57,CN1C(=O)C(c2ccncc2)(c2cc(-c3cncnc3)ccc2F)N=C1N,6.76184,5.446346759796143
58,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccnc2)CCCCCN1,5.37725,5.559993267059326
59,CC(C)(C)C=C1Oc2cc(C(=O)NCC(O)CNC3(c4cccc(C(C)(C)C)c4)CC3)[nH]c21,7.592608,6.819060325622559
60,CC(C)(C)c1ccc(CNC2CS(=O)(=O)CC(Cc3cc(F)c(N)c(OCCC(F)(F)F)c3)C2O)cc1,7.499711,6.859615325927734
61,COc1ccc(-c2ccc(C3(c4ccccc4)COCC(=N)N3)cc2)cc1,6.781329,3.2545430660247803
62,Cn1c(N)nc(Cl)ccccc2c3ccc(c(c3)OC(C)(C)CC23CCC(C)(C)C3)c1=O,5.173568,8.166341781616211
63,CCn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1F,6.4071136,6.07598876953125
64,CCCOc1c(N)cc(C[SH]2CC(C(=O)NCc3cccc(C(C)C)c3)C2O)cc1F,4.430853,5.800118923187256
65,CC(=O)NC1=CC=C(F)CC(C(O)CNC2(c3cccc(N(C)S(C)(=O)=O)c3)CC2)C=C1C(C)C,6.930083,7.536908149719238
66,COc1cccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)c2ccc(N(C)S(C)(=O)=O)cc2N2CCCC2=O)c1,4.0242496,6.812259197235107
67,COc1cccc(-c2ccc(C3(C)N=C(N)CS3)cc2)c1,7.8968306,4.323196887969971
68,COc1ccccc1-c1ccc(C2(c3ccccc3)CC(=N)N2)cc1,4.569102,5.325659275054932
69,OC(CNC1(c2cccc(-c3cccnc3F)c2)CCCCC1)c1ccccc1,3.7200663,5.356658935546875
70,CCOc1cccc(-c2cccc(C3(c4ccc5cc4CC(C)(C)C5)N=C(N)N(C)C3=O)c2)c1,4.5582495,7.41322660446167
71,N#Cc1ccccc1-c1cccc([C@]2(N=C(N)c3ccccc3)Nc3ncccc32)c1,6.661771,4.759728908538818
72,Cc1c(C(C(=O)OCc2ccccc2)[C@@H](O)CNC2CC2)c(Cc2cc(F)cc(F)c2)n(C)c1C,6.8581896,5.304924011230469
73,CCCCCC12CC(NCC(C(Cc3cc(F)cc(-c4nccs4)c3)NC(C)=O)O1)c1ncc(CCC(C)(C)C)nc1O2,4.0520554,7.677781105041504
74,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CC2(CCC2)Oc2cc(CC(C)(C)C)ncc21,7.9578342,9.94503402709961
