fold_0:
   train      val  monitor       lr
5.158994 3.820832 1.954695 0.001000
2.419390 2.217006 1.488962 0.001000
1.770747 2.063323 1.436427 0.001000
1.672820 1.985231 1.408982 0.001000
1.673499 1.959486 1.399816 0.001000
1.736206 1.856821 1.362652 0.001000
1.444131 1.957378 1.399063 0.001000
1.386847 1.458440 1.207659 0.001000
1.244671 1.360610 1.166452 0.001000
1.342482 1.365065 1.168360 0.001000
1.194530 1.181982 1.087190 0.001000
1.236668 2.142720 1.463803 0.001000
1.087674 1.050087 1.024737 0.001000
1.175067 1.713341 1.308947 0.001000
0.997805 1.024269 1.012062 0.001000
0.942837 1.086890 1.042540 0.001000
0.826291 0.987481 0.993721 0.001000
0.767387 0.886806 0.941704 0.001000
1.131823 1.173637 1.083345 0.001000
0.957907 0.871328 0.933449 0.001000
0.833667 0.922657 0.960550 0.001000
0.723402 0.922566 0.960503 0.001000
0.650413 0.933181 0.966013 0.001000
0.637907 0.782161 0.884399 0.001000
0.681978 0.960629 0.980117 0.001000
0.687025 1.032963 1.016348 0.001000
0.541060 0.653924 0.808656 0.001000
0.662815 0.637062 0.798162 0.001000
0.553088 0.924421 0.961468 0.001000
0.626826 0.992068 0.996026 0.001000
0.498176 0.637241 0.798274 0.001000
0.504214 1.120303 1.058444 0.001000
0.450062 0.794444 0.891316 0.001000
0.455185 0.865891 0.930533 0.001000
0.453449 0.661697 0.813447 0.000750
0.534351 0.998702 0.999351 0.000750
0.421560 0.848275 0.921018 0.000750
0.384955 0.850069 0.921992 0.000750
0.390190 0.769634 0.877288 0.000750
0.487335 0.608840 0.780282 0.000750
0.444519 0.984592 0.992266 0.000750
0.336247 0.644262 0.802659 0.000750
0.344307 0.814579 0.902540 0.000750
0.311020 1.349987 1.161889 0.000750
0.339213 1.163459 1.078637 0.000750
0.326438 0.635739 0.797333 0.000750
0.282830 0.657181 0.810667 0.000563
0.286420 0.855518 0.924942 0.000563
0.279640 1.129462 1.062761 0.000563
0.302154 0.844113 0.918756 0.000563
0.248406 0.615379 0.784461 0.000563
0.273284 0.731060 0.855020 0.000563
0.299726 0.961815 0.980722 0.000563
0.270026 0.865740 0.930452 0.000422
0.231470 0.845207 0.919351 0.000422

fold_1:
   train      val  monitor       lr
6.930380 2.188651 1.479409 0.001000
2.277827 1.367816 1.169537 0.001000
1.905543 1.638437 1.280015 0.001000
1.825493 1.287946 1.134877 0.001000
1.795964 1.470000 1.212436 0.001000
1.701192 1.191512 1.091564 0.001000
1.741061 1.134971 1.065350 0.001000
1.417359 1.047044 1.023252 0.001000
1.520368 1.080331 1.039390 0.001000
1.152952 0.959596 0.979590 0.001000
1.250226 1.709081 1.307318 0.001000
1.279673 1.157139 1.075704 0.001000
1.243145 0.918245 0.958251 0.001000
0.989632 0.940449 0.969767 0.001000
0.973209 0.983652 0.991792 0.001000
1.107467 1.123815 1.060102 0.001000
1.230563 0.953242 0.976341 0.001000
1.062050 0.816045 0.903352 0.001000
0.847622 0.789503 0.888540 0.001000
0.816359 0.715418 0.845824 0.001000
0.828146 0.951469 0.975433 0.001000
0.786917 0.698496 0.835761 0.001000
0.962432 1.230880 1.109451 0.001000
0.944961 1.232738 1.110287 0.001000
