,smiles,pIC50
0,O=C(C1CNCC12CCCc1cc(Br)ccc12)N1CCC(c2ccccc2)CC1c1ccccc1,7.154902
1,CCn1ccc2c(N3CCCC3=O)cc(C(=O)NC(Cc3ccccc3)C(O)CNCc3cccc(C(F)(F)F)c3)cc21,7.6382723
2,CCn1ccc2c(N3CCCC3=O)cc(C(=O)NC(Cc3ccccc3)C(O)CNC(C)(C)c3cccc(OC)c3)cc21,4.4559321
3,CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2Cc3ccccc3CN2)c2cccnc21,5.9208188
4,CC(C)(C)c1cccc(CNC2CS(=O)(=O)CC(Cc3cc(F)c(N)c(-c4cc[nH]n4)c3)C2O)c1,7.5528421
5,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(Br)cc32)N=C1N,4.4337983
6,Cn1c(N)nc(C2CC2c2cccc(-c3ccccc3)c2)cc1=O,2.7332981
7,CC#Cc1cncc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,7.2146702
8,CC1=NC(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)N=C1N,6.5086384
9,CC#Cc1cncc(-c2cccc([C@]3(C4CC4)N=C(C)C(N)=N3)c2)c1,7.1023731
10,Nc1cccc(Cn2c(-c3ccccc3)ccc2-c2ccc(C(=O)NC3CCC3)cc2)n1,5.4685211
11,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1CC1CCCO1,5.9829664
12,CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,8.6126099
13,CC(C)c1cccc(CNCC(O)C2COC/C=C/CCCNC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,6.7447276
14,COCCCC1NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)NC(C(O)CC(C(=O)NCC(C)C)C(C)C)COCc2cccc1c2,5.7212462
15,COCCOC1NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)NC(C(O)CC(C(=O)NCC(C)C)C(C)C)COCc2cccc1c2,5.0
16,CC(C)(C)Cc1cnc2c(c1)C(NCC(O)C(Cc1cccc(-c3nccs3)c1)NC(=O)[C@@H]1CCCO1)CC1(CCC1)O2,8.036212
17,CC(C)(C)Cc1cnc2c(c1)C(NCC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)c1ccccc1F)CC1(CCC1)O2,7.1157713
18,CC1(C)Cc2ccc(-c3cncc(Cl)c3)cc2C2(CSC(N)=N2)C1,5.7002749
19,CNC(=O)c1cc(C(=O)NC(COCc2cc(F)cc(F)c2)C(O)CC(C)C(=O)NC(C(=O)NCc2ccccc2)C(C)C)cc(N(C)S(C)(=O)=O)c1,5.8996296
20,CC(=O)Nc1c(Cl)cc(C/N=C(\N)NC(=O)Cn2ccc3ccccc32)cc1Cl,5.9956784
21,COc1ccc(C2(c3cccc(-c4cccnc4)c3)COC(N)=N2)cc1,5.1272612
22,COc1ccc(C2(c3cccc(-c4cnccc4F)c3)COC(N)=N2)cc1,5.0861859
23,NC1=NC(c2ccc(OC(F)F)cc2)(c2cccc(-c3cccnc3F)c2)CO1,5.9172144
24,CCC(CC(=O)NCC1CCOCC1)n1c(N)nc2cc(Cl)ccc21,3.0
25,COc1ccc([C@@]2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1C,4.3467875
26,CCCN(CCC)C(=O)c1cc(Sc2ccc(OC)cc2)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2cccc(OC)c2)c1,7.5686364
27,CCCN(CCC)C(=O)c1cc(Sc2ccccc2)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2cccc(OC)c2)c1,7.8860564
28,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2noc(=O)[nH]2)=N1,6.124939
29,CN1C(=O)CC(C)(c2cc(-c3cccc(C#N)c3)cs2)N=C1N,7.251812
30,Cc1cnc(C(=O)Nc2cccc(C3(C)N=C(N)CN(C)C3=O)c2)cn1,5.1500282
31,CC(C)CC(NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(O)CC(C)C(=O)NC(C(=O)NC(C)C)C(C)C,8.9586077
32,NC1=N[C@](c2ccc(OC(F)(F)F)cc2)(c2cccc(CCC3CC3)c2)C2=NCCCN12,6.6777806
