smiles,pred_pIC50,target_pIC50
Brc1ccc(C2CC2c2ccccc2)cc1,4.459003,4.461828231811523
Brc1cccc(C2CC2c2ccccc2)c1,3.263512,3.26584792137146
Brc1cccc(C2CNCC2C2CNCC2c2ccccc2)c1,3.3654768,3.3572394847869873
Brc1cccc([C@@H]2C[C@H]2c2ccccc2)c1,3.7201335,3.7131826877593994
Brc1ccccc1,3.884031,3.8861327171325684
Brc1ccccc1CCCC1CNC1,5.187869,5.205223083496094
C#CC(C)c1ccc(F)cc1C1(c2cccc(-c3cccnc3F)c2)N=C(N)N(C)C1=O,8.049145,8.062028884887695
C#CCCCOc1ccc(C2(c3ccc(-c4cncnc4)cc3)N=C(N)N3CCCN=C32)cc1,8.849404,8.859628677368164
C#CCc1ccc(-c2cccc(C3(c4cnn(CC)c4)N=C(N)N(C)C3=O)c2)cc1,7.6201973,7.60357666015625
C#Cc1cc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1-c1nccs1,8.35482,8.343130111694336
C#Cc1cc(CC2CCC3(CCC3)Oc3ncc(CC(C)(C)C)cc3CNC2O)ncc1OC(COC)C(F)(F)F,9.923596,9.944242477416992
C#Cc1cc(F)cc(CC(NC(=O)COC)C(O)CNC2(c3cccc(C(C)(C)C)c3)CCC2)c1,8.158135,8.154570579528809
C#Cc1cc(F)cc(CC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)C)cc32)c1,9.313192,9.320817947387695
C#Cc1cc(F)cc(CNC(Cc2cc(F)cc(F)c2)C(O)CNC2(c3cccc(C(C)(C)C)c3)CC2)c1,7.735941,7.774245738983154
C#Cc1ccc(-c2cccc(C3(c4cc(C)c(OC)c(C)c4)N=C(N)N(C)C3=O)c2)nc1,7.5794845,7.574427127838135
C#Cc1ccc(-c2cccc(C3(c4ccnc(C(F)F)c4)N=C(N)c4c(F)cccc43)c2)cc1,6.182858,6.1797566413879395
C#Cc1ccc(C(=O)Nc2cccc(C3(C)N=C(N)OCC3(F)F)c2)s1,5.5425677,5.545363903045654
C#Cc1ccc(CC(CNC2CC3(CC(O)C3)Oc3ncc(CC(C)(C)C)cc32)NC(C)=O)cc1F,7.3301454,7.343924522399902
C#Cc1ccc(CC(NC(=O)COC)C(O)CNC2CC3(CC3)Oc3ncc(CC(C)(C)C)cc32)cc1F,7.930112,7.937068462371826
C#Cc1ccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)C(C)(C)C)cc32)cc1,6.316452,6.337033271789551
C#Cc1ccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)C)cc32)cc1-c1nccs1,9.307114,9.314725875854492
C#Cc1ccc(F)c(CC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,9.545625,9.5640869140625
C#Cc1ccc(Oc2ncccc2C)cc1C1(c2cccc(-c3cncnc3)c2)COC(=N)N1,6.9909625,6.976428985595703
C#Cc1cccc(-c2cc(C3(c4ccc(OC)cc4OC)N=C(C)C(=N)N3)cs2)c1,8.625961,8.634927749633789
C#Cc1cccc(-c2cccc(C3(C)CCCC(=N)N3)c2)c1,5.3597097,5.346430778503418
C#Cc1cccc(-c2cccc(C3(c4cnn(CCC)c4)N=C(N)N(C)C3=O)c2)c1,8.519801,8.520941734313965
C#Cc1cccc(-c2cncnc2)c1C1(c2ccc(OC(F)(F)F)cc2)N=C(N)N(C)C1=O,7.1178007,7.11574649810791
C#Cc1cccc(C(=O)N[C@H](Cc2cc(F)cc(F)c2)[C@H](O)CN[C@H]2CCCc3ccc(CC(C)(C)C)cc32)c1,9.443955,9.469911575317383
C#Cc1cccc(CC(NC(=O)COC)C(O)CCNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,9.060561,9.059226036071777
C#Cc1cccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)CC)cc32)c1,9.855841,9.885884284973145
C#Cc1cccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)C(C)C)cc32)c1,7.822542,7.826480865478516
C#Cc1cccc(CC(NC(=O)COC)C(O)CNC2c3cc(CC(C)(C)C)cnc3OC23CC3)c1,9.033955,9.03966999053955
C#Cc1cccc(CC(NC(=O)c2ccc(Cl)cn2)C(O)CNC2CC3(CCC3)Oc3cc(CC(C)(C)C)ccc32)c1,8.177593,8.181522369384766
C#Cc1cccc(CC(NC(C)=O)C(O)CNC2(c3ccc(C4CCOC4)cc3)CCC2)c1,6.7833676,6.776711463928223
C#Cc1cccc(CC(NC(C)=O)C(O)CNC2CC23CC(C)(C)Cc2cc(Cl)cnc2O3)c1,6.7169743,6.739793300628662
C#Cc1cccc(CC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,7.038124,7.025461196899414
C#Cc1cccc(CCC(C)Cc2cnc3c(c2)C(NCC(O)C(Cc2cccc(-c4nccs4)c2)NC(=O)COC)CC2(CCC2)O3)c1,9.938292,9.963340759277344
C#Cc1cccc(CCC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,7.5331993,7.537095069885254
C#Cc1cccc(CNC(=O)C(C(O)CNC2CCC3(CC3)Oc3ncc(CC(C)(C)C)cc32)C(C)C(C)(C)C)c1,7.884375,7.8787150382995605
C#Cc1ccccc1-c1cncc(C2(c3cc(CC(C)(C)C)nc(OC4CC4)c3)N=C(N)N(C)C2=O)c1,8.934396,8.936861038208008
C#Cc1cncc(-c2cccc([C@]3(c4ccn(CC)c4)N=C(N)N4CCCN=C43)c2)c1,8.612104,8.636093139648438
C#Cc1cncc(C(=O)Nc2cccc(C3(C)N=C(N)CS3)c2)n1,6.178296,6.187777042388916
C/C(=C\C1CC1)c1cccc(C2(c3ccccc3)N=C(N)N(C)C2=O)c1,5.2332544,5.231189727783203
C/C(=N/OCC(C)C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNC(C)C)cc(N2CCCCS2(=O)=O)c1,6.47444,6.469987869262695
C/C(=N/OCC(C)C)c1cc(C(=O)NC(Cc2ccccc2)C(O)NCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,7.6373124,7.651609420776367
C/C(=N/OCC(C)C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2ccc(C)cc2)cc(N(c2ccccc2)S(C)(=O)=O)c1,6.416769,6.430120944976807
C/C(=N/OCC(C)C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)c2cc(F)cc(F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,7.946295,7.9310994148254395
C/C(=N/OCC(C)C)c1cc(CC(NC(=O)c2cc(C)cc(N3CCCC3=O)c2)C(O)CNCc2cccc(C(F)(F)F)c2)cc(OF)c1,8.708524,8.720606803894043
C/C(=N/OCC1CC1)c1cc(C(=O)NC(Cc2ccccc2)C(O)CNCc2cccc(C(F)(F)F)c2)cc(N(C)S(C)(=O)=O)c1,5.9478464,5.933499336242676
C/C(=N/OCCC(C)C)c1cc(C(=O)NC(C)c2ccc(F)cc2)cc(N(c2ccccc2)S(C)(=O)=O)c1,4.3440676,4.346857070922852
C/C(=N/OCCC(C)C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2ccccc2)cc(N(C)S(C)(=O)=O)c1,5.6160107,5.610116958618164
C/C(=N/OCCc1ccccc1)c1cc(C(=O)NC(COCc2cc(F)cc(F)c2)C(O)CC=O)cc(N(C)S(C)(=O)=O)c1,7.3102736,7.316831588745117
C/C(=N/OCCc1ccccc1)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCS2(=O)=O)c1,7.0091467,7.0151238441467285
