,smiles,pred_pIC50,target_pIC50
0,CN(c1cc(C(=O)N=O)cc(C(CCc2ccccc2)NC(Cc2ccccc2)[C@H](O)CNC2CC2)c1)S(C)(=O)=O,5.255148,4.837351322174072
1,CCn1cc2c3c(cc(C(=O)N[C@H](C(O)CNC4CCC4)C(Cc4ccsc4C)NC(C)=O)cc31)CCC2,8.424169,5.574904918670654
2,CCC1(c2ccc(N3CCCCC3=O)cc2)C[C@@H](OC(=O)NC[C@@H](O)[C@@H](C)Cc2cc(F)cc(F)c2)CN1,7.2941546,5.520236968994141
3,Cc1ccc(NC(=O)c2ccc(Cl)cn2)cc1C1(CC2(C)NCCc3ccc(F)cc32)N=C(N)N(C)C1=O,7.428419,6.363214492797852
4,COc1cccc(CNC([C@H](Cc2cc(F)cc(F)c2)NC(C)=O)[C@H](O)[C@@H]2C[C@H](CC(C)C)CCS(=O)(=O)C2)c1,8.135908,6.336082935333252
5,COc1cccc(-c2cccc(C3(C(F)(F)F)COC(=N)NC3OC)c2)c1,6.7997875,6.494890213012695
6,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CCC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,8.163845,7.194340705871582
7,CN1C(=O)C(c2ccc(OC(F)F)cc2)(c2ccc(-c3cccnc3F)cc2)N=C1N,6.3575063,7.949392318725586
8,CC(C)(C)c1ccc(CNC2CS(=O)(=O)CC(Cc3ccccc3)C2O)c(F)c1,5.8576055,5.388937473297119
9,CC(=O)NC(CCc1cc(F)cc(F)c1)NCC(O)C1(c2ccn(CC(C)(C)C)n2)CCN1,4.6900835,7.975376129150391
10,CN1C(=O)c2cc(-c3ccnc(N(C)S(C)(=O)=O)c3)cc(c2)N(C)[SH]1C(=O)NC(Cc1ccccc1)C(O)CNCc1cccc(C(F)(F)F)c1,7.7023935,9.15841579437256
11,CN1C(=O)C(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)C(F)N=C1N,5.448138,6.864471435546875
12,CC(C)Oc1ccc(CNC2CS(=O)(=O)CC(Cc3ccc(N)c(OC(C)C)c3)C2O)cc1,5.978104,4.503807067871094
13,CC(C)(C)CCC(=O)n1c(N)nc2c(Cl)cccc21,6.30564,4.3384108543396
14,CCC1(c2cccc([N+](=O)[O-])c2)N=C(N)S1,6.6652136,4.485271453857422
15,CC1=N[C@](c2cccc(F)c2)(c2cc(C)nc(C)c2)N=C1N,3.598586,6.269763946533203
16,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C3CCCCCC3)c2)CCCCC1,5.103775,6.0485944747924805
17,COc1ccc(-c2cccc(C3(c4cccnc4)N=C(N)N(C)C3=O)c2)cc1,6.8644495,6.796801090240479
18,CC(=O)NC(Cc1ccccc1)C(O)CNC1(c2ccc(CC(C)(C)C)cn2)CCCCC1,7.3706436,5.921967029571533
19,CN1C(=O)C(C)(Cc2cccc(F)c2)N=C1N,5.1836615,5.233644962310791
20,CC(=O)NC(Cc1ccc(F)c(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CC1,6.949278,7.926952362060547
21,CCCN(CCC)C(=O)c1cc(C)cc(N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,6.8262577,7.398310661315918
22,CCN(C)C(=O)n1nc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C(C)NC2CCCC2)c2ccc(C(F)(F)F)cc21,6.982591,5.770711421966553
23,CCCCN(CCC)C(=O)C1=CC2=CC2NC(C(O)C(Cc2ccccc2)NCc2cccc(OC)c2)CCC(C(=O)NCC(C)c2ccccc2)=C1,5.9852924,8.631146430969238
24,Cn1c(N)nc(-c2cccc(-c3cccnc3)c2)c1O,6.0396395,6.91529655456543
25,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)C)c2)CCCC1,7.487606,6.301665782928467
26,CCC(C)(COC)COC1=CC=CC(NC(=O)c2cc(C(=O)NC(C)c3ccccc3)cc(N(C)S(C)(=O)=O)c2)CC(F)=C1,6.469719,4.6850104331970215
27,CCCCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2ccccc2)C(O)CNCc2cccc(OC)c2)cc(N(C)S(C)(=O)=O)c1,7.672632,7.654504776000977
28,CC(=O)NC(Cc1ccc(F)cc1)C(O)CNC1(c2ccc(CCC(C)(C)C)cn2)CCC1,6.164991,6.629750728607178
29,CC(C)COc1cc(CC(NC(=O)c2cccc(N(C)S(C)(=O)=O)c2)C(O)CNC2CC2)ccc1F,6.4812617,5.022182464599609
30,COc1cccc(COCC(CC(O)C(COc2cc(F)cc(F)c2)NC(=O)N(c2cccc(C(F)(F)F)c2)c2cccc(S(C)(=O)=O)c2)OC)c1,6.978242,5.77779483795166
31,COc1cccc(CNCC(O)C(NC(=O)c2cc(C)cc(N(C)S(C)(=O)=O)c2)C(=O)NC(COc2cc(F)cc(F)c2)C(O)CC(=O)OCc2cccc(OC)c2)c1,6.5665026,6.943387508392334
32,COCc1ccc2c(c1)-c1ccccc1CC(C)(C)N=C(NC(=O)c1cccc(Cl)c1)C2O,6.7065806,7.171808242797852
33,COc1ccc(C2COC(=N)NC2(c2cccc(-c3cncnc3)c2)C2CCCC2)cc1,6.0249796,6.413790225982666
34,CN1C(N)=NC(C)(C)Oc2ccc(-c3cccc(NC(=O)c4ccccn4)c3)cc2CC1(C)C,7.7415648,5.612144947052002
35,O=C(NC(Cc1ccccc1)[C@H](O)CNCc1cccc(C(F)(F)F)c1)c1cc(C2C=CC=C2)ccc1Cl,6.7203536,7.622149467468262
36,CC(C)Oc1cc(CC2CS(=O)(=O)CC(NCc3cccc(Cl)c3)C2O)ccc1N,4.8631926,5.977905750274658
37,CC(=O)CC(Cc1ccccc1)NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1,6.1983733,6.11012077331543
38,CC(C)c1cccc([C@]2(c3ccc(-c4ccncc4)cc3)N=C(N)N(C)C2=O)c1,7.4165626,6.147593975067139
39,N=C1NC(c2cccc(OC(F)(F)F)c2)(c2cccc(-c3cncnc3)c2)C(F)(F)CO1,6.6195745,6.739115715026856
40,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C3CCCCCC3)c2)CC1,6.445642,4.387937068939209
41,CCc1cc(CC2CS(=O)(=O)CC(NCc3ccc(C)c(C(C)(C)C)c3)C2O)cc(O[C@H](O)CCOC)c1N,6.225458,7.63350772857666
42,CCCCN(CCCC)C(=O)n1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)Cc2cc(O)cc(OC)c2)c2ccc(Cl)cc21,4.9706335,7.512684822082519
43,CC(=O)NC(Cc1cccc(F)c1)C(O)CNC1(c2cncc(C(C)(C)C)c2)CCCCC1,6.6871243,8.445804595947266
44,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(N3CCC3)c2)CCCC1,7.4667873,5.781928539276123
