,smiles,pred_pIC50,target_pIC50
0,CN(c1cc(COCC(C)(N)Cc2ccccc2)cc(C(=O)CNCc2cccc(C(F)(F)F)c2)c1)S(C)(=O)=O,6.3782425,5.572707653045654
1,CC(C(=O)NC(Cc1ccccc1)C(O)CNCc1cccc(C(F)(F)F)c1)c1cccc(C(C)(C)C)c1,7.5996566,9.812030792236328
2,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C1CCc2cc(OC(F)(F)F)cc(c2)C1N,8.09339,6.2133965492248535
3,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCN=C1N,5.924251,6.969557285308838
4,COc1cccc(-c2ccc(CC3(C)CN=C4N=C(N)C(C)N4C3=O)cc2)c1,7.3589225,5.861594200134277
5,CS(=O)(=O)N(c1ccccc1)c1cc(Cc2ccccc2)cc(C(=O)NC(O)CNCc2cccc(C(F)(F)F)c2)c1,6.5582786,8.370129585266113
6,CC1(c2cccc(OC(F)F)c2)CSCC(=N)N1,1.9562869,6.204704761505127
7,CC(C)(C)c1ccc(CNC2CS(=O)(=O)CC(O)C2Cc2cc(F)c(N)c(F)c2)cc1,5.7459354,6.714804649353027
8,CC(C)(C)CC(Cc1ccccc1)CN1Cc2cc(Cl)ccc2N=C1N,3.9935098,4.004425048828125
9,CN1C(=O)C(C2=NCCCC2)(c2ccccc2)N=C1N,6.71785,6.811127185821533
10,CCCN(CCC)C(=O)c1ccc(C(=O)NC(Cc2cccc(F)c2F)C(O)CNCc2cccc(OC)c2)nc1,7.3479667,6.070098400115967
11,CCCC(O)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CC(O)CNCc2cccc(OC)c2)cc(C(=O)N(CCC)CCC)c1,6.491775,5.798567771911621
12,CC(C)c1cccc(NC[C@H](Cc2ccccc2)[C@H](O)NC2C(O)[C@H](O)CS(=O)(=O)C[C@@H]2Cc2cc(F)cc(F)c2)c1,5.6763,7.004824161529541
13,COc1cccc(CNCC(O)C(NC(=O)c2ccc(N(C)S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)c1,5.4878955,5.494585990905762
14,CN1CCC(C)(c2cccc(NC(=O)c3ccc(NC(=O)c4ccc(Cl)cn4)cc3F)c2)N=C1N,7.259659,6.517462730407715
15,CN1C(=O)C(c2ccccc2)(c2ccc(-c3cccnc3F)cc2)N=C1N,7.040496,5.184785842895508
16,CCCC(C)C(=O)NC(N[C@@H](Cc1ccccc1)[C@H](O)NCc1cccc(C2CCCCC2)c1)c1cccc(N2CCCC2=O)c1,6.4143596,7.985648155212402
17,CC(C)c1cncc(C2(c3ccc(-c4cccnc4F)cc3)CCC(=N)N2)c1,7.4265437,6.673534393310547
18,CNC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(S(C)(=O)=O)C1,7.3107495,7.321203708648682
19,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cc(F)cc(OC(F)(F)F)c4)cc32)N=C1N,5.5722523,5.711496353149414
