Dataset,Fold,Checkpoint,Val_RMSE,Val_MAE,Val_Pearson,Holdout_MSE,Holdout_RMSE,Holdout_MAE,Holdout_R2,Holdout_Rho,Holdout_Pearson
0%,0,best_model_fold_0.pth,0.7234807190698018,0.5642850527396569,0.8795662522315979,0.44562714402564724,0.6675531020268329,0.535513117313385,0.5845766995415356,0.6999455535041962,0.7747219800949097
0%,1,best_model_fold_1.pth,0.6548403851737672,0.5130486084864689,0.8477848768234253,0.4363361510855398,0.6605574547952205,0.526293820142746,0.5932379649143056,0.7185906033435838,0.7886684536933899
0%,2,best_model_fold_2.pth,0.78903074378937,0.5905033441690298,0.8000317215919495,0.4628004700854257,0.6802943995693523,0.5530435180664063,0.5685673520696681,0.7185493432751374,0.772318422794342
0%,3,best_model_fold_3.pth,0.802834182816676,0.6135135412216186,0.8219877481460571,0.43505435461457437,0.659586502753486,0.5219133818149566,0.5944328834187624,0.70783897968952,0.7780776023864746
0%,4,best_model_fold_4.pth,0.8289623231424416,0.6275873019145085,0.8125931024551392,0.546580802622438,0.739311032395999,0.5975080275535584,0.4904655067879313,0.6571086002601024,0.7201961278915405
33%,0,best_model_fold_0.pth,0.7606008226649073,0.5809942328012907,0.8673355579376221,0.5996489056527199,0.7743700056515102,0.5982703220844269,0.4409942687687304,0.661033558043947,0.7115458250045776
33%,1,best_model_fold_1.pth,0.6254888953579978,0.4693549211208637,0.8600607514381409,0.49722767596031675,0.7051437271651196,0.5514146864414216,0.5364735631659852,0.6164689332065438,0.7382921576499939
33%,2,best_model_fold_2.pth,0.772042793906394,0.5843603005776039,0.8087594509124756,0.5309560695414257,0.7286673243266956,0.5991369962692261,0.5050312222572815,0.6628992633207861,0.7340368628501892
33%,3,best_model_fold_3.pth,0.8187167556156346,0.6284873806513273,0.8179271221160889,0.5046681136627109,0.7103999673864794,0.5679795622825623,0.5295374255706364,0.6747206480222051,0.7477357983589172
33%,4,best_model_fold_4.pth,0.8428316485052842,0.6286341107808626,0.8031575083732605,0.5558041287179427,0.7455227217985665,0.5990423929691314,0.48186732191708626,0.6288919647242175,0.7116366028785706
67%,0,best_model_fold_0.pth,0.736736713191712,0.5681579530239105,0.8757087588310242,0.46333486609907965,0.6806870544523964,0.5256085550785065,0.5680691765013253,0.7038270006704065,0.7658546566963196
67%,1,best_model_fold_1.pth,0.6198583808046487,0.4906653697674091,0.8609723448753357,0.34972675682050663,0.591377000584658,0.4698423898220062,0.6739771229720062,0.7804491983245212,0.8215988278388977
67%,2,best_model_fold_2.pth,0.7748056510572535,0.5864475296093867,0.8069512248039246,0.3939029300435206,0.6276168656461684,0.510857013463974,0.6327951350074825,0.7559444685826852,0.8067758679389954
67%,3,best_model_fold_3.pth,0.7738154505082983,0.587581913287823,0.8376263380050659,0.4153643919315397,0.6444876972693425,0.5025062537193299,0.612788294199618,0.7302214415470868,0.7904284000396729
67%,4,best_model_fold_4.pth,0.855762512856914,0.6364363523629996,0.7968961596488953,0.521849359233702,0.7223914169158587,0.5841343152523041,0.5135206953584441,0.6586254704128038,0.7246702313423157
