Dataset,Fold,Checkpoint,Val_RMSE,Val_MAE,Val_Pearson,Holdout_MSE,Holdout_RMSE,Holdout_MAE,Holdout_R2,Holdout_Rho,Holdout_Pearson
0%,0,best_model_fold_0.pth,0.7423734909138486,0.5732821336159339,0.8708602786064148,0.5550916804522097,0.7450447506373088,0.5810563278198242,0.4825314816612235,0.6630245438922505,0.7310712933540344
0%,1,best_model_fold_1.pth,0.6345014897662045,0.4877454409232506,0.8554250001907349,0.49376470851794096,0.7026839321614953,0.5561636054515838,0.5397018166141394,0.7079290016570393,0.7528269290924072
0%,2,best_model_fold_2.pth,0.793665557605374,0.6113963979941148,0.7992337346076965,0.5178398386445542,0.7196108939173685,0.5864287114143372,0.5172584575184263,0.6926620261488162,0.7514477968215942
0%,3,best_model_fold_3.pth,0.82262971828205,0.6323877288745,0.8128353357315063,0.4464005201334348,0.668132112784167,0.5275674307346344,0.5838557415399863,0.7177256422723352,0.7766302227973938
0%,4,best_model_fold_4.pth,0.8515120280768375,0.6324080577263466,0.8000298738479614,0.5977857877596253,0.7731660803214438,0.6018590009212494,0.4427311077262963,0.6138958053016151,0.6781270503997803
33%,0,best_model_fold_0.pth,0.7652532562055453,0.6098031896811266,0.8645839095115662,0.5279589007642475,0.726607803952206,0.5669017970561981,0.5078252480749161,0.5995913146627867,0.7169902324676514
33%,1,best_model_fold_1.pth,0.661076087174888,0.5315300116172204,0.8403289318084717,0.5230933485339864,0.7232519260492752,0.5594226241111755,0.5123610215194794,0.6417898621205557,0.7185226678848267
33%,2,best_model_fold_2.pth,0.8243404176422879,0.6292171056453998,0.7809298634529114,0.5475736926128911,0.7399822245249484,0.6028056144714355,0.4895399131782152,0.6831819627859635,0.7347438931465149
33%,3,best_model_fold_3.pth,0.8671679779678865,0.6594038193042462,0.7889373898506165,0.46022999666757075,0.6784025329165353,0.5523728203773498,0.5709636032076477,0.7408207780394305,0.7785685658454895
33%,4,best_model_fold_4.pth,0.8907302473132631,0.6847642751840445,0.7817150950431824,0.5798743457365916,0.761494810052302,0.6165447175502777,0.4594285429273056,0.5806476919644599,0.6814680695533752
67%,0,best_model_fold_0.pth,0.8843279061479146,0.7172293131168072,0.8472380638122559,0.593875587236511,0.7706332378223191,0.6355346596240997,0.4463762815639858,0.6808548949255878,0.7290564179420471
67%,1,best_model_fold_1.pth,0.7261885077775331,0.5845062283369211,0.8142808079719543,0.6303994742232297,0.7939769985479616,0.6395561993122101,0.4123279209984063,0.5765269364012605,0.6550276875495911
67%,2,best_model_fold_2.pth,0.8595474967592364,0.673510965017172,0.7578164339065552,0.5089911416728529,0.71343615108351,0.580017032623291,0.5255074049849868,0.7323144522919122,0.7603515386581421
67%,3,best_model_fold_3.pth,0.874946458309205,0.6791443714728722,0.7915820479393005,0.5945342744226417,0.7710604868767701,0.6353208303451539,0.445762239065676,0.6853784987934363,0.7412153482437134
67%,4,best_model_fold_4.pth,0.8991810064689205,0.7032104822305533,0.7722896337509155,0.6148133890875812,0.7841003692688718,0.634988100528717,0.42685760801384776,0.6375595798302077,0.6853610277175903
