Dataset,Fold,Checkpoint,Val_RMSE,Val_MAE,Val_Pearson,Holdout_MSE,Holdout_RMSE,Holdout_MAE,Holdout_R2,Holdout_Rho,Holdout_Pearson
0%,0,best_model_fold_0.pth,0.7175389002777254,0.5559635681050424,0.8763799667358398,0.5452860231393509,0.7384348469156577,0.5780142498016357,0.4916725283382142,0.6372760106325218,0.7204950451850891
0%,1,best_model_fold_1.pth,0.6610830847755964,0.5208665778618733,0.8406717777252197,0.5001343289560944,0.7072017597235561,0.5548270499706268,0.5337639181253231,0.6518273114989658,0.7338787913322449
0%,2,best_model_fold_2.pth,0.749374036294858,0.5860400536588131,0.8210304379463196,0.3796010006515601,0.6161176840925442,0.49733014225959776,0.6461277041532036,0.7366842686319152,0.8051837086677551
0%,3,best_model_fold_3.pth,0.8297142139866525,0.6320059026470621,0.8152658939361572,0.3758680924354525,0.6130808204759406,0.4861648416519165,0.6496076022523973,0.7649489158838104,0.8154341578483582
0%,4,best_model_fold_4.pth,0.8078822687931199,0.6147820875911639,0.8169229626655579,0.5131941395106097,0.716375697180334,0.5665499103069306,0.5215892791324912,0.6669450005777192,0.726466715335846
33%,0,best_model_fold_0.pth,0.7870710192551424,0.6237021466247908,0.8513034582138062,0.5582822328409892,0.7471828643919701,0.580450998544693,0.4795571794415272,0.6308244362936334,0.7008032202720642
33%,1,best_model_fold_1.pth,0.6776965357813212,0.537678309069335,0.8333866596221924,0.44534234592107763,0.6673397529902423,0.5126567709445954,0.584842194519009,0.7088517268241129,0.7737370729446411
33%,2,best_model_fold_2.pth,0.8093957566568145,0.6344948133439509,0.790480375289917,0.42248153135990746,0.6499857931985187,0.5103274714946747,0.6061535422757418,0.7252019666748192,0.7853358387947083
33%,3,best_model_fold_3.pth,0.8607846718364325,0.666038919041175,0.7972437739372253,0.5623743069461961,0.749916199949165,0.5832954835891724,0.4757424591012245,0.6859546393855602,0.7532639503479004
33%,4,best_model_fold_4.pth,0.867427425451943,0.6673536678078552,0.7911919355392456,0.46864584183107494,0.684577126283865,0.5646205413341522,0.5631181695960696,0.6818578896803661,0.7538028359413147
67%,0,best_model_fold_0.pth,0.7920849139400974,0.6232592176845055,0.8475225567817688,0.6122950186751507,0.7824928234016915,0.6129310965538025,0.4292052875987534,0.5831428008308718,0.6601143479347229
67%,1,best_model_fold_1.pth,0.755322429068165,0.6168985639819662,0.8084670901298523,0.6687749471028348,0.8177866146513005,0.6867135643959046,0.3765534718562724,0.671073257971545,0.718832790851593
67%,2,best_model_fold_2.pth,0.9042764086283065,0.703021480836941,0.7322198152542114,0.4340603720654536,0.6588325827290675,0.5168589329719544,0.5953594955353934,0.755915961626304,0.7849460244178772
67%,3,best_model_fold_3.pth,0.9092266112428672,0.7070473013943388,0.7744876742362976,0.7274534431213294,0.8529088128993213,0.6928225064277649,0.3218521036637215,0.6008576236725592,0.7086073160171509
67%,4,best_model_fold_4.pth,0.8854988296447512,0.6747344580396262,0.7769381999969482,0.9111471694431902,0.9545402922052009,0.7848577451705933,0.15060882307543366,0.34532276703819115,0.5215656161308289
