Dataset,Fold,Checkpoint,Val_RMSE,Val_MAE,Val_Pearson,Holdout_MSE,Holdout_RMSE,Holdout_MAE,Holdout_R2,Holdout_Rho,Holdout_Pearson
0%,0,best_model_fold_0.pth,0.7275348700358888,0.5631050772339333,0.8720161318778992,0.49103473844742157,0.7007387091116214,0.5413790631294251,0.5422467539952042,0.6931068847049745,0.7525359392166138
0%,1,best_model_fold_1.pth,0.6706904173569064,0.5142902272348185,0.8414867520332336,0.45702030063858984,0.6760327659504307,0.5231201946735382,0.5739557515444441,0.7258186171523268,0.7701774835586548
0%,2,best_model_fold_2.pth,0.8252463163109752,0.6327981393755847,0.7775892019271851,0.40837553037442975,0.639042667100116,0.536291698217392,0.6193034627063524,0.7317045534619685,0.7967876195907593
0%,3,best_model_fold_3.pth,0.8492172200483274,0.6439848419364173,0.8040243983268738,0.511266036211523,0.7150286960755652,0.5771137762069702,0.5233866988966815,0.6941488889790112,0.7507650852203369
0%,4,best_model_fold_4.pth,0.8295083718916145,0.6382753259887106,0.805380642414093,0.5949834178153631,0.7713516823183594,0.6247346746921539,0.445343537841828,0.5507258903271455,0.6730817556381226
33%,0,best_model_fold_0.pth,0.7568197324077542,0.5888836893416544,0.8621477484703064,0.5652969631881993,0.751862329943587,0.5774289286136627,0.4730178954869204,0.673741659125432,0.7346510291099548
33%,1,best_model_fold_1.pth,0.6661991740977337,0.5245569116286649,0.8411784172058105,0.39833078602578437,0.6311345229234291,0.49601184129714965,0.6286673915098806,0.7328838412364723,0.7946078777313232
33%,2,best_model_fold_2.pth,0.7732032128877924,0.573439757332547,0.8064488172531128,0.40661511024641184,0.6376637909168215,0.5223745107650757,0.6209445645772309,0.7260249174945588,0.7933878898620605
33%,3,best_model_fold_3.pth,0.8367688420963021,0.6373806272754232,0.8102107048034668,0.4493588802387325,0.670342360468688,0.5375114274024964,0.5810978940090095,0.7190999776431308,0.782538652420044
33%,4,best_model_fold_4.pth,0.8142041283871617,0.6206930364881244,0.815203070640564,0.5109436204243519,0.7148032039829928,0.581081748008728,0.5236872618947443,0.6561273608141411,0.7298286557197571
67%,0,best_model_fold_0.pth,0.7316204748436973,0.5765710832508466,0.8703302145004272,0.442926201965968,0.6655270106960107,0.5099206912517548,0.5870945763805516,0.6959778352857797,0.7750463485717773
67%,1,best_model_fold_1.pth,0.6658493792105685,0.5239944903905155,0.8413375020027161,0.5045021421319601,0.71028314222707,0.5864697802066803,0.5296921478356758,0.6854002541022534,0.7561715245246887
67%,2,best_model_fold_2.pth,0.83043899491914,0.638404292004709,0.7835875153541565,0.515025183334715,0.7176525505665782,0.5697677838802337,0.5198823403185258,0.6541303735013365,0.7284664511680603
67%,3,best_model_fold_3.pth,0.8609262650634726,0.6786230729736444,0.7983165383338928,0.43251543625484573,0.6576590577608171,0.5282144248485565,0.5967997182463383,0.7143190609847895,0.78785240650177
67%,4,best_model_fold_4.pth,0.8232963943104369,0.6304369764438467,0.8114449381828308,0.5317105560106296,0.7291848572280074,0.6010222387313843,0.5043278735870086,0.6963244198607293,0.7326486110687256
