Dataset,Fold,Val_RMSE,Holdout_MSE,Holdout_RMSE,Holdout_R2,Holdout_Rho
0%,0,0.7259030538752634,0.5583677450744964,0.7472400852968852,0.47947746308055283,0.6557312641570558
0%,1,0.6864328276891398,0.43500035707236806,0.659545568609454,0.5944832211001643,0.7355259859831659
0%,2,0.7863601128641303,0.49744456315035535,0.705297499747699,0.5362713762177236,0.6703868404692099
0%,3,0.8325020900705026,0.40907891887293346,0.6395927758135902,0.6186477486739592,0.7086626806923222
0%,4,0.8598216827702682,0.5712523666485916,0.7558123885254803,0.46746613905949874,0.6158470314475977
33%,0,0.7665797989032155,0.5554065141143204,0.7452560057552844,0.4822379868847879,0.6421972115235808
33%,1,0.6197002892166571,0.44508750475532255,0.6671487875694017,0.5850797629876043,0.7389513218472781
33%,2,0.8065209322224406,0.5233503926037674,0.7234296044562784,0.5121213994559151,0.6473059581803052
33%,3,0.9022979344699955,0.5514486732237998,0.7425959017014568,0.4859275721074845,0.6835593048664823
33%,4,0.8912574970257369,0.5798691942856444,0.7614914275851333,0.4594333452217423,0.6555954810227143
67%,0,0.7503424235331452,0.5142051194412173,0.7170809713283551,0.5206468216877397,0.6900386359786892
67%,1,0.718244496122228,0.5024251036906179,0.7088195141858171,0.5316284081736047,0.6617042217019664
67%,2,0.7855942714491667,0.5228249413360055,0.7230663464274946,0.5126112365379021,0.7032913699636663
67%,3,0.821730533306783,0.5363640768998298,0.7323688120747837,0.4999897603628449,0.6955989928391358
67%,4,0.8565311022198696,0.5387350501608151,0.7339857288536441,0.4977794876032471,0.688253200289555
