fold_0:
   train      val  monitor       lr
4.323250 2.147721 1.465510 0.000500
1.805142 1.756844 1.325460 0.000500
1.619801 2.243988 1.497995 0.000500
1.515550 1.428536 1.195214 0.000500
1.372700 1.325370 1.151247 0.000500
1.253904 1.480053 1.216574 0.000500
1.469366 1.414117 1.189166 0.000500
1.251572 1.178703 1.085681 0.000500
1.088223 1.303598 1.141752 0.000500
1.035433 1.246713 1.116563 0.000500
1.023679 1.091374 1.044688 0.000500
1.124606 1.002738 1.001368 0.000500
0.851958 0.865974 0.930577 0.000500
0.800313 1.048819 1.024119 0.000500
0.776937 0.782884 0.884807 0.000500
0.704172 1.377858 1.173822 0.000500
0.911379 0.857291 0.925900 0.000500
0.823882 1.347168 1.160676 0.000500
1.218007 1.087114 1.042648 0.000375
0.686708 0.919681 0.959000 0.000375
0.572889 0.932476 0.965648 0.000375
0.591022 0.644693 0.802928 0.000375
0.495169 0.677869 0.823328 0.000375
0.505131 0.662602 0.814004 0.000375
0.511741 0.841941 0.917574 0.000375
0.456796 0.639270 0.799544 0.000375
0.465300 0.596458 0.772307 0.000375
0.420805 0.632898 0.795549 0.000375
0.486629 0.717739 0.847195 0.000375
0.383561 0.640098 0.800061 0.000375
0.459674 0.583027 0.763562 0.000375
0.375823 0.598140 0.773395 0.000375
0.344851 0.875947 0.935921 0.000375
0.357134 0.688428 0.829716 0.000375
0.321185 0.986350 0.993152 0.000281
0.371139 1.005404 1.002698 0.000281
0.348077 0.635306 0.797061 0.000281
0.311633 0.641503 0.800939 0.000281
0.284482 0.552195 0.743098 0.000281
0.279730 0.576841 0.759501 0.000281
0.274506 0.594986 0.771354 0.000281
0.274471 0.589900 0.768049 0.000281
0.307030 0.575520 0.758631 0.000211
0.238933 0.553954 0.744281 0.000211
0.237799 0.655659 0.809728 0.000211
0.235413 0.582373 0.763134 0.000211
0.200225 0.592988 0.770057 0.000158
0.213014 0.693635 0.832848 0.000158
0.218392 0.545978 0.738903 0.000158
0.189682 0.581981 0.762877 0.000158
0.197808 0.794068 0.891105 0.000158
0.194650 0.564007 0.751004 0.000158
0.195524 0.687128 0.828932 0.000119
0.195892 0.554009 0.744318 0.000119
0.163259 0.570842 0.755541 0.000119
0.175221 0.626030 0.791221 0.000119
0.161671 0.615360 0.784449 0.000089
0.160674 0.579073 0.760968 0.000089

fold_1:
   train      val  monitor       lr
4.110792 2.260383 1.503457 0.000500
2.059700 1.496791 1.223434 0.000500
1.654744 1.443604 1.201501 0.000500
1.697282 1.187396 1.089677 0.000500
1.461153 1.550563 1.245216 0.000500
1.461862 1.184923 1.088542 0.000500
1.297526 1.085385 1.041818 0.000500
1.250212 1.045212 1.022356 0.000500
1.376915 1.497554 1.223746 0.000500
1.405168 0.996894 0.998446 0.000500
1.078893 0.831877 0.912073 0.000500
1.063871 0.931623 0.965206 0.000500
1.028474 0.950900 0.975141 0.000500
1.094054 0.746023 0.863726 0.000500
0.919042 1.229091 1.108644 0.000500
0.929796 1.001640 1.000820 0.000500
0.931528 1.001745 1.000872 0.000500
