Dataset,Fold,Checkpoint,Val_RMSE,Val_MAE,Val_Pearson,Holdout_MSE,Holdout_RMSE,Holdout_MAE,Holdout_R2,Holdout_Rho,Holdout_Pearson
0%,0,best_model_fold_0.pth,0.7389034627660475,0.5701194592104614,0.8711583018302917,0.49812825565777474,0.7057820170971876,0.5420230984687805,0.5356340232159179,0.6857775961827722,0.7468234896659851
0%,1,best_model_fold_1.pth,0.6489156299603485,0.512879426242741,0.8479482531547546,0.4403149740688562,0.663562336234401,0.5360343182086944,0.5895288197290783,0.7093851069816651,0.7703635692596436
0%,2,best_model_fold_2.pth,0.7840521222810514,0.5959147442388171,0.8025287985801697,0.5328158284213808,0.7299423459571178,0.6064042437076569,0.5032975146447052,0.672148270300339,0.7346795797348022
0%,3,best_model_fold_3.pth,0.808727686294879,0.621757326235298,0.8235324025154114,0.4693184869748893,0.6850682352692243,0.5575119590759278,0.5624911151865102,0.6963896857871811,0.7612804770469666
0%,4,best_model_fold_4.pth,0.8231424178183966,0.6443187371184007,0.8118977546691895,0.4845920790771874,0.6961264820973179,0.5606301498413085,0.5482527409625473,0.6712698059339625,0.7433897852897644
33%,0,best_model_fold_0.pth,0.7648492202353886,0.5958337438015537,0.8579710125923157,0.48288770293981115,0.6949012181165113,0.5540062797069549,0.5498415974083537,0.6842674776776347,0.7495262026786804
33%,1,best_model_fold_1.pth,0.6842319978541104,0.5329938298873319,0.82867830991745,0.4936212776986133,0.7025818654780476,0.5364011216163636,0.5398355259385182,0.6730980020576685,0.7365745306015015
33%,2,best_model_fold_2.pth,0.8015795662180231,0.6328189555015272,0.7935250997543335,0.5794186826693476,0.7611955613831097,0.5979974961280823,0.4598533219333184,0.6397028528402317,0.7346373200416565
33%,3,best_model_fold_3.pth,0.8736908467675671,0.6722029793353481,0.7904786467552185,0.4853791647130714,0.6966915850741068,0.5623988199234009,0.5475190026412038,0.7022531166049428,0.7546559572219849
33%,4,best_model_fold_4.pth,0.8711114919428479,0.6766478177663442,0.7896559238433838,0.49520103439622404,0.7037052183949072,0.577931616306305,0.5383628424405735,0.6650035268115513,0.7358447909355164
67%,0,best_model_fold_0.pth,0.793396054582182,0.6227101588067208,0.8516526818275452,0.6160273135548383,0.7848740749667034,0.6251724827289581,0.4257259612650891,0.5853423375705952,0.658199667930603
67%,1,best_model_fold_1.pth,0.7434641551132539,0.5909237934432867,0.7932122349739075,0.4934611285272018,0.7024678843386378,0.5629409694671631,0.5399848204737488,0.69221491704347,0.7369948029518127
67%,2,best_model_fold_2.pth,0.9035974769363353,0.7253867824569004,0.7444043755531311,0.5014177545800829,0.7081085754176988,0.5821492743492126,0.5325674808890413,0.7056146869087286,0.7481451630592346
67%,3,best_model_fold_3.pth,0.8890922975580338,0.6921471857842598,0.7814788818359375,0.670190268399082,0.8186514938599221,0.6624523055553436,0.3752340786101951,0.6138898038371139,0.6899702548980713
67%,4,best_model_fold_4.pth,0.9025501263693073,0.6991635703672313,0.7671429514884949,0.7864284118552984,0.8868079904101555,0.762101275920868,0.2668743571678973,0.5815629153009068,0.6499228477478027
