smiles,pred_pIC50,target_pIC50
Brc1cccc(CCn2cc(C3CN(c4ccc(-c5cncnc5)cc4)C3)cn2)c1,5.7068663,5.685839653015137
Brc1ccccc1C1CC(NCc2ccccc2)C1,3.210875,3.2106237411499023
C#CC(Cc1ccccc1)C(C)n1c(N)nc2cc(Cl)ccc21,3.312052,3.3035666942596436
C#CC1=CC23CCCC(=C4C=C(CC(C)(C)C)C=CC(=C1)CC(NC(=O)COC)C(O)CNC4C2)O3,8.269442,8.256001472473145
C#CCCNC[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,8.965506,8.984960556030273
C#CCCNC[C@H](O)n1cc2c3cc(C(=O)N[C@H](C)Cc4ccccc4)cc(c31)CCS(=O)(=O)CC2,7.085504,7.093389987945557
C#CCNC[C@@H](O)[C@@H]1CCNC(c2ccccc2)(c2cc(Cc3cc(F)cc(F)c3)cc(C(=O)N(CCC)CCC)c2)N1,7.523608,7.515352249145508
C#CCNC[C@@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cn(C(=O)N(CCC)CCC)c2ccccc12,6.0403852,6.034910202026367
C#CCOc1ccc(C(=O)Nc2cc(F)cc(C3(c4ccccn4)N=C(N)N(C)C3=O)c2)nc1,8.660247,8.653531074523926
C#CCOc1ccc(C(=O)Nc2ccc(C3(C)N=C(N)OCC3(F)F)c(F)c2)nc1,8.454269,8.46830940246582
C#CCOc1ccc(C(=O)Nc2ccc(F)c(C3(c4cccc(C#N)c4)N=C(N)CON3)c2)nc1,7.98018,7.9787163734436035
C#CCOc1ccc(C(=O)Nc2cccc(C3(OC(F)(F)F)CC(=N)N(C)C(C)C3)c2)nc1,8.246273,8.238980293273926
C#CCOc1cnc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)CS3)c2)cn1,7.31763,7.332089900970459
C#CCc1cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)(C)C)c3)C2O)ccc1O,5.7198353,5.695696830749512
C#CCc1cccc([C@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N3CCCN=C32)c1,8.846014,8.8438720703125
C#CNC[C@@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Cc2ccccc2)cc(C(=O)N(CCC)CCC)c1,6.3544126,6.328300476074219
C#COc1ccc(C(=O)Nc2ccc(F)c(C3(F)N=C(N)N(C)C3(F)F)c2)nc1,8.895663,8.89760684967041
C#COc1cnc(C(=O)Nc2ccc(C3(C)N=C(N)OCC3(F)F)c(F)c2)cn1,8.378615,8.38467788696289
C#Cc1cc(C2(COC)N=C(N)N3CCCCN=C3C2C)ccc1-c1cncnc1,8.233203,8.2383451461792
C#Cc1cc(C2(c3cccc(-c4cccnc4F)c3)CC(=O)N(C)C(N)=N2)ccn1,7.2740545,7.27404260635376
C#Cc1cc(CC(=NO)C(O)CNC2CC3(CCC3)Oc3nncc(CC(C)(C)C)c32)cc(OC(F)F)c1,7.669799,7.66195011138916
C#Cc1cc(CC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1Cl,8.407106,8.406109809875488
C#Cc1cc(F)cc(-c2cccc(C3(c4ccccc4)N=C(N)N(C)C3=O)c2)c1,8.368806,8.365274429321289
C#Cc1cc(F)cc(CC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.296104,8.294220924377441
C#Cc1cc(F)cc(CC(NC(C)=O)C(O)CNC2CCC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.572681,8.567384719848633
C#Cc1cc([C@@]2(c3cc(C)c(OC)c(OC(F)F)c3)N=C(N)N(C)C2=O)ccn1,7.413209,7.40570592880249
C#Cc1ccc(-c2cc(CC(C)(C)N=C3NCC=C3OC)cc(Cl)c2NC(C)=O)cc1,8.503733,8.506572723388672
C#Cc1ccc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNC2(c3cccc(C(C)(C)C)c3)CCCC2)nc1,8.826927,8.828312873840332
C#Cc1ccc(C(=O)Nc2ccc(F)c(C3(c4cc(C)cc(F)c4)N=C(N)C(O)N3)c2)nc1,8.873894,8.86587142944336
C#Cc1ccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ccc(-c4nccs4)cc32)cc1,7.3973475,7.396482467651367
C#Cc1ccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)CC)cc32)cc1,7.3569384,7.36732816696167
C#Cc1ccc(CN2CCCC(C)(NCC(O)C(Cc3ccc(F)c(F)c3)NC(C)=O)C2)cc1,8.03317,8.00391960144043
C#Cc1ccc(F)c(-c2ccccc2C2(c3ccccc3)N=C(N)N3CCCN=C2C3)c1,6.718931,6.737321376800537
C#Cc1ccc(F)c(C(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,7.9571104,7.9567975997924805
C#Cc1ccc(F)c(CC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.147935,8.142071723937988
C#Cc1cccc(-c2ccc(C3(c4cnn(OC)c4)N=C(N)N(C)C3=O)cc2)c1,8.994279,8.990164756774902
C#Cc1cccc(-c2ccc(C3CC3c3cc(=O)n(C)c(N)n3)cc2)c1,3.7383418,3.737882614135742
C#Cc1cccc(-c2ccc([C@@]3(c4ccc(OC)c(F)c4)COC(=N)N3)cc2)c1,5.8848844,5.868183135986328
C#Cc1cccc(-c2ccc3c(c2)C2(CCC(C)(C)O3)COC(=N)N2)c1,6.66872,6.682074546813965
C#Cc1cccc(-c2cccc(C3(C)N=C(N)N(C)C3=O)c2)c1,5.872897,5.855927467346191
C#Cc1cccc(-c2cccc(C3(C4CCCCC4)N=C(N)N(C)C3=O)c2)c1,6.5699315,6.547045707702637
C#Cc1cccc(C2(NCC(O)C(CO)(CCc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,5.568186,5.591336250305176
C#Cc1cccc(CC(NC(=O)COC)C(=O)NC(Cc2ccc(F)cc2)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,7.5478945,7.535160064697266
C#Cc1cccc(CC(NC(=O)COC)C(O)CNC2CC3(CC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.138436,8.127677917480469
C#Cc1cccc(CC(NC(=O)COC)C(O)CNC2CCC23CCC3)c1,7.915377,7.908258438110352
C#Cc1cccc(CC(NC(C)=O)C(O)CNC23CCCCC(C2)c2cc(CC(C)(C)C)cnc2O3)c1,7.7968006,7.814268112182617
C#Cc1cccc(CC(NC(C)=O)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.667433,8.658159255981445
C#Cc1cccc(CC2(NCC(O)C(Cc3ccc(F)c(F)c3)NC(C)=O)CCC(Nc3cccc(C(C)(C)C)c3)C2)c1,8.207269,8.182890892028809
C#Cc1ccccc1-c1cccc([C@@]2(C)N=C(N)N(C)C2=O)c1,4.4829288,4.481983184814453
