smiles,MW,LogP,TPSA
Brc1ccc(/N=C/c2c[nH]c3ccccc23)[nH+]c1,300.01308587209,3.4951000000000025,42.29
C#C[C@](O)(CC(=O)N1CCCCCC1)c1ccccc1Cl,305.11825655999996,2.953500000000002,40.54
C/C(=C/c1cccc(Cl)c1)Nc1ccc(C(=O)NN)cc1,301.098189812,3.4164000000000003,67.15
C/C(=N\NC(=O)C1=Cc2ccccc2C1=O)c1ccccc1,290.105527688,2.806700000000001,58.53
C/C(=N\NC(=O)CSCc1cccnc1)c1ccccc1,299.109233164,2.855200000000001,54.35
C/C(=N\NC(=O)c1cc(O)ccc1O)c1ccc(C)c(C)c1,298.131742436,2.868640000000001,81.92
C/C(=N\Oc1cc(F)c(F)cc1F)C(=O)Nc1ccco1,298.056526808,3.090300000000001,63.83
C/C(Cl)=C1/OC(=O)c2c([nH]c3ccccc23)[C@H]1C(N)=O,290.045819892,2.3774999999999995,85.18
C/C(Cl)=N/NC(=O)c1ccc(N2CCC(C)CC2)cc1,293.12948994,3.2249000000000017,44.7
C/C(O)=C/c1cc2c(cc1Cl)n(C)c(=O)n2C(C)(C)C,294.113505528,3.667200000000003,47.160000000000004
C1=CN2C(c3ccccc3)=Nn3c(nc4ccccc43)N2C=C1,299.11709541600004,3.324200000000002,36.660000000000004
C=C(C)[C@H]1C([O-])=NC(=O)/C1=C(\C#N)[C@H](C)c1ccccc1C,293.12955136391,2.41,76.28
C=C(C)[C@H]1CCc2cc(C(=O)NCc3ccncc3)cn2C1,295.168462292,2.9516000000000018,46.92
C=C(C)c1cccc2c1O[C@H](C(=O)N1CCCC1)CC(=O)N2,300.1473925,2.4317,58.64
C=C1C=C(N2CCCCC2)C(=O)N1Cc1ccccc1OC,298.168127944,2.9209000000000014,32.78
C=CC(/N=C/c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2[nH]1,306.111675688,3.817300000000002,84.18
C=CCN(C=O)[C@@H](C)SCc1ccc2c(c1)OCCCO2,307.124214532,3.0715000000000012,38.77
C=CCN(CC=C)c1ccc(NC(=O)c2cccnc2)cn1,294.148061196,2.907300000000001,58.120000000000005
C=CC[C@@H]1C(C=C)=CCN2CCCN2C(=O)c2ccccc21,294.17321332399996,3.5352000000000023,23.550000000000004
C=CCc1ccc(CN(C)S(=O)(=O)c2ccccc2)cc1,301.113649848,3.235800000000002,37.38
C=CCc1ccc(CNC(=O)[C@@H](C)COc2ccccc2)o1,299.152143532,3.339400000000002,51.47
C=CCn1nc(C(=O)Nc2ccc(Cl)cc2)cc1OC,291.077454368,2.9834000000000005,56.15
C=CN(CC)C(=O)Nc1ccc(N2CCOCC2)cc1Cl,309.12440456,3.1739000000000015,44.81
CC(=O)/C(=C\c1ccccc1)C(=O)Nc1cc(N)ccc1C,294.13682781599994,3.188320000000002,72.19
CC(=O)C1=C(C)Nc2nc(-c3cccc(C)c3)nn2C(C)(C)C1,310.179361324,3.667220000000002,59.81
CC(=O)C1=C(N)OC(C)(C)[C@]12C[C@H](c1ccccc1)OC2(C)C,315.18344366,3.4811000000000023,61.55000000000001
CC(=O)C1Sc2cc(C(F)(F)F)ccc2N(C)C1=O,289.03843422,2.7315000000000005,37.38
CC(=O)CNC(=O)c1ccc(CSCc2ccccc2)o1,303.092914404,3.0318000000000014,59.31
CC(=O)Cc1nc(-c2cccc(C(F)(F)F)c2)nn1C(C)C,311.124546792,3.676300000000002,47.78
CC(=O)Cc1nnc(-c2ccccc2)n1-c1ccc(O)cc1,293.11642672,2.7714000000000008,68.01
CC(=O)N(N)c1ccc2c(c1)O/C(=C/c1ccccc1)C2=O,294.10044230799997,2.5294000000000008,72.63
CC(=O)N/N=C/c1cc(-c2ccccc2)n(-c2ccccc2)n1,304.132411132,3.0093000000000014,59.28
