smiles,MW,LogP,TPSA
C#CC(C)(C)NC(=O)OCc1cc[nH]n1,207.100776656,1.0476999999999999,67.00999999999999
C#CCCN(C)c1ccc(C#N)cc1N,199.110947416,1.5999799999999997,53.05
C#CCCNCc1cccc(C(N)=O)c1,202.110613068,0.8984000000000001,55.12
C#CCN(C(=O)[C@H](C)CC)[C@@H]1CCO1,195.125928784,1.2407000000000001,29.540000000000003
C#CCN1C(=O)CS[C@@H]1c1ccc[nH]1,206.05138394,1.2218999999999998,36.1
C#CCN1CCC[NH2+][C@@H](C)[C@H](CC)C1,195.18557515608998,0.3034000000000008,19.85
C#CCN1CCN=C(OC)C[C@@H]1C1CC1,206.141913196,1.1488,24.83
C#CCO/C=C/C(=O)C1=NNC(C)(C)C1,206.105527688,0.8468999999999998,50.69
C#CCO[C@@H](C)[C@H]([NH3+])C1CCCCC1,196.16959074409,1.2154999999999994,36.870000000000005
C#CCOc1ccc([N+](=O)[O-])cc1C[NH3+],207.07641863209,0.34869999999999995,80.01
C#CC[C@@H](O)C(C)(C)[C@H](CC)[C@H](C)[NH3+],198.18524080809,1.0534,47.870000000000005
C#CCc1ccc(CO)cc1C[C@H]1CO1,202.099379688,1.2959,32.76
C#C[C@@H](O)C1(C(=O)OCC)CCCC1,196.109944372,1.1039999999999999,46.53
C#C[C@@H](O)C1([NH3+])CCCC(Cl)CC1,202.09931826409,0.5327,47.870000000000005
C#C[C@@H]1CCC[C@H]1NC(=O)C1=NC=CC1,202.110613068,1.2629,41.46
C#C[C@@H]1CC[NH+](Cc2ccccc2C)C1,200.14337599609,1.0330199999999998,4.44
C#Cc1ccccc1C[C@H](C)[NH+](C)CC,202.15902606008999,1.1335,4.44
C/C(C(=O)[O-])=C(/C(C)C)[S@@](C)=O,189.05908885591,0.04479999999999973,57.199999999999996
C/C(CCl)=N/NC(=O)C(C)(C)C#N,201.066889684,1.26708,65.25
C/C=C/CC(=O)N1C(=O)O[C@@H](C)C1=O,197.068807832,0.8465,63.68
C/N=C(\C)CNc1cc(C)cc(C)n1,191.14224754399999,2.20104,37.28
C/N=C(\CC[NH2+]C1CC1)c1cccnc1,204.14952399608998,0.6163999999999996,41.86
C/N=c1\nc(O)c2cnn(C(C)C)c2[nH]1,207.112010036,0.5763999999999996,79.09
C/[N+]=c1/c(C)nn(C)n1C(=O)C(C)C,196.13186255208998,-0.3074800000000004,53.92
C1=CCN(Cc2ccccc2)CC[NH2+]C1,203.15427502808998,0.6218,19.85
C1CC[C@@H]([C@@H]2CCCOC2)C[NH2+]C1,184.16959074409,0.7765000000000001,25.84
C1CC[NH+]2C[C@H](COC3CC3)CC[C@H]2C1,210.18524080809,1.0127999999999997,13.670000000000002
C=C(C=O)C[C@@H]1CC[C@H]2CCCC[C@@H]2[NH2+]1,208.16959074409,1.4162,33.68
C=C(N)OC[C@H]1CCO[C@H]2CCC[C@H]12,197.141578848,1.6381000000000001,44.480000000000004
C=C1CCC[C@@H](C(=O)OCC)CC[C@H]1[NH3+],212.16450536409,1.2965,53.94
C=CC(=O)N1C=CC=CC(=O)[C@H]1OC,193.073893212,0.6261000000000001,46.61
C=CC1(N(C)C)CCO[C@H]2CCOC[C@H]21,211.157228912,1.2982,21.700000000000003
C=CC1=CCN(C(=O)NC2CC2)CC1=O,206.105527688,0.8554999999999999,49.410000000000004
C=CC1NC(=NC(=O)c2ccccn2)N1,202.08546094,0.28269999999999984,66.38
C=CCC[NH2+]C[C@@H]1Cc2ccccc2O1,204.13829061609,1.1296000000000002,25.84
C=CCN(CC(=O)[O-])c1ccc(C)cc1,204.10300226791,0.7373199999999996,43.370000000000005
C=CCNC(=O)N1CCCC(=O)CC1,196.121177752,0.9369999999999998,49.410000000000004
C=CCNC(=O)[C@@H](CC)Cn1ccnc1,207.137162164,1.2115,46.92
C=CCNC(=O)c1ccc(OC)nc1,192.089877624,1.006,51.22
C=CCN[C@@H](c1ccccc1)C(C)(C)[NH3+],205.16992509208998,1.5237999999999998,39.67
C=CCN[C@H](C(=O)[O-])c1ccccc1C,204.10300226791,0.5616199999999998,52.16
C=CC[C@@H]([NH2+]C[C@H](C)[C@H](C)O)C1CC1,198.18524080809,0.9213999999999996,36.84
C=CC[NH+](C)Cc1cccc(NC)c1C,205.16992509208998,1.23742,16.47
C=CC[NH2+][C@@H](C)c1cnn(C(C)C)n1,195.16042302808998,0.6693999999999998,47.32
C=CCn1cc(CNCC2CC2)cc1[O-],205.13463674391,1.2472999999999999,40.019999999999996
C=CCn1cc([N+](=O)[O-])c(O)c1CO,198.0640568,0.7801999999999998,88.53
C=CCn1ccc(C(=O)NC2CCC2)n1,205.1215121,1.3514,46.92
C=CS(=O)(=O)Nc1cccc(F)c1,201.025977716,1.7108999999999999,46.17
C=C[C@@H](NC(=O)c1cnsn1)C1CC1,209.062282972,1.2325,54.88
C=Cc1ccc(N[C@H](CO)C(N)=O)cc1,206.105527688,0.5877000000000001,75.35
C=Cc1nc(C[C@H](C)C#N)nn1CC,190.12184644799999,1.6431799999999999,54.5
CC#CCN(C)c1ccc(C(C)C)[nH+]n1,204.14952399608998,1.4786,30.270000000000003
CC#CC[NH+](C(C)C)[C@@H]1CCSC1,198.13109706008999,0.8085000000000002,4.44
CC#C[C@@H](C)CC(=O)N1CCC(O)C1,195.125928784,0.6291,40.540000000000006
CC#C[C@@H]([NH3+])C(=O)Nc1cccc(C)c1,203.11788952009,0.56732,56.74
CC(=O)C(C)(C)[C@@H](C)CS(C)(=O)=O,206.097665436,1.2823,51.21
CC(=O)C1=C[C@@H](CS)C[C@H]1C(=O)O,200.050715244,1.1522999999999999,54.370000000000005
CC(=O)CCC[NH2+]Cc1ccc(C)o1,196.13320523609,1.02062,46.82
CC(=O)CC[NH+](C)Cc1ccccc1,192.13829061609,0.6803999999999999,21.51
CC(=O)COC(=O)/N=C/c1ccco1,195.053157768,1.4241000000000001,68.87
CC(=O)C[C@H](C)C[C@]1(CO)CCCO1,200.1412445,1.5332,46.53
CC(=O)C[C@H]1NC(=O)[C@@]2(C)CCC[C@H]12,195.125928784,1.2703,46.17
CC(=O)N(C)C(C)(C)C[C@@H](C)C(N)=O,200.15247788,0.7547999999999999,63.4
CC(=O)N1CCCN(C(=O)C(C)C)CC1,212.15247788,0.7231999999999998,40.620000000000005
CC(=O)N1CCOC(Cl)(Cl)C1,197.001033888,0.9964999999999999,29.540000000000003
CC(=O)N1CCSC(C)(C)C1=O,187.066699656,0.8869,37.38
CC(=O)N1C[C@@H](C(C)(C)C)CC[C@@H]1N,198.173213324,1.5758,46.33
CC(=O)N1C[C@H](CS)C[C@@H](O)C1(C)C,217.113649848,0.9241,40.540000000000006
CC(=O)N1C[C@H](O)c2c(C)cccc21,191.094628656,1.39492,40.540000000000006
CC(=O)N1[CH]c2ccsc2[C@@H](O)C1,196.04322456,1.15349,40.540000000000006
CC(=O)NC(=O)NCc1cccc(C)c1,206.105527688,1.3407200000000001,58.2
CC(=O)NC(=O)[C@@H](O)c1ccccc1,193.073893212,0.3826999999999998,66.4
CC(=O)NC(=O)c1ccc(NC(C)C)o1,210.100442308,1.3762,71.34
CC(=O)NC1CC(O)(c2ccccc2)C1,205.11027872,1.1727,49.33
CC(=O)NCC1(C(N)=S)CCCC1,200.098334132,0.9689999999999998,55.120000000000005
CC(=O)NC[C@@H]1CNc2ccccc21,190.110613068,1.3317999999999997,41.13
CC(=O)NC[C@H](O)C[C@@H]1CCC[C@H]1C,199.157228912,1.3096999999999994,49.33
CC(=O)NCc1cc(N(C)C)ccn1,193.1215121,0.7836999999999998,45.230000000000004
CC(=O)NNC(=O)c1csc(C)c1,198.04629856,0.8374199999999999,58.2
CC(=O)N[C@H](c1ccc(F)cc1)C1CO1,209.085206844,1.4017000000000002,41.63
CC(=O)Nc1ccc([C@@H](C)[NH3+])cc1F,197.10846770809,1.0869999999999997,56.74
CC(=O)OC1CN(c2ccc(F)cc2)C1,209.085206844,1.5774,29.54
CC(=O)OCCN(C)c1ccccn1,194.105527688,1.0808999999999997,42.43
CC(=O)[C@@H](Br)[C@H]1CC(=O)O1,205.957856184,0.6544,43.370000000000005
CC(=O)[C@@H](C)C(=O)Nc1nncs1,199.041547528,0.7016999999999998,71.95
CC(=O)[C@H](C)O[C@@H](C)CCCC(=O)O,202.120509056,1.6239000000000001,63.60000000000001
CC(=O)[C@H](C)c1ccc(F)cc1C[NH3+],196.11321874009,1.2600999999999998,44.71
CC(=O)[NH+](C)Cc1ccc(C(C)C)o1,196.13320523609,0.9642,34.650000000000006
CC(=O)c1cc(F)cc(OCC[NH3+])c1,198.09248329609,0.649,53.94
CC(=O)c1ccc([C@@H](O)[C@H]2CCOC2)o1,210.089208928,1.5521,59.67
CC(=O)c1ccccc1-n1nnnc1C,202.08546094,1.1733200000000001,60.67
CC(=O)c1cccnc1N1CO[C@@H](C)C1,206.105527688,1.4668,42.43000000000001
CC(=O)c1ncc[n+](C2CC(C)C2)c1N,206.12878855209,1.1248999999999998,59.86
CC(=O)c1noc(/C=C/c2cc[nH]n2)n1,204.064725496,1.1657,84.67
CC(C)(C)C(=O)C[C@@H]1CCCC[NH2+]C1,198.18524080809,1.3551999999999995,33.68
CC(C)(C)C(=O)N1CC(O)(C2CC2)C1,197.141578848,1.0157999999999998,40.540000000000006
CC(C)(C)OC[C@H](C(=O)[O-])C1CC1,185.11831798391,0.5775999999999999,49.36
CC(C)(C)[NH2+]Cc1cc(CC#N)c[nH]1,192.14952399608998,0.9426799999999997,56.19
CC(C)(C[NH3+])CC=Cc1cccs1,196.11544699609,2.4194999999999998,27.64
CC(C)CC(=O)N1CC(OC(C)C)C1,199.157228912,1.6683000000000001,29.54
CC(C)CC(=O)N[C@@H]1CCC[NH2+][C@H]1C,199.18048977608998,0.2629999999999999,45.71
CC(C)CC[C@@H](C)CCC/C([O-])=N/O,200.16560252391,2.377,55.650000000000006
CC(C)CC[C@@H]1CC(=O)N(C)C(N)=N1,197.152812228,0.968,58.69
CC(C)CNC(=O)C1C[C@@H](C)C[C@@H]1[NH3+],199.18048977608998,0.4152000000000013,56.74
CC(C)CNC(=O)[C@H](C(C)C)[NH+]1CCC1,213.19613984008998,0.07180000000000186,33.54
CC(C)CONc1cccc(C(N)=O)n1,209.11642672,1.1799999999999997,77.24
CC(C)CS(=O)(=O)NC1(C)CCO1,207.092914404,0.6982999999999997,55.400000000000006
CC(C)C[C@@H]1C[NH+](C)C[C@H]1C1CCC1,196.20597625208998,1.5933,4.44
CC(C)C[C@H](O)COC(=O)NC1CC1,201.136493468,1.282,58.56
