smiles,pred_pIC50,target_pIC50,is_valid,canonical_smiles,murcko_scaffold_smiles,tanimoto_max_to_ref,diversity_score,mean_tanimoto_internal,diversity_internal_score
Brc1ccc(C2CC2c2ccccc2)cc1,4.459003,4.461828231811523,True,Brc1ccc(C2CC2c2ccccc2)cc1,c1ccc(C2CC2c2ccccc2)cc1,0.35714287,0.837085579479033,0.16604989998833014,0.8339501000116698
Brc1cccc(C2CC2c2ccccc2)c1,3.263512,3.26584792137146,True,Brc1cccc(C2CC2c2ccccc2)c1,c1ccc(C2CC2c2ccccc2)cc1,0.47727272,0.837085579479033,0.16604989998833014,0.8339501000116698
Brc1cccc(C2CNCC2C2CNCC2c2ccccc2)c1,3.3654768,3.3572394847869877,True,Brc1cccc(C2CNCC2C2CNCC2c2ccccc2)c1,c1ccc(C2CNCC2C2CNCC2c2ccccc2)cc1,0.3469388,0.837085579479033,0.16604989998833014,0.8339501000116698
Brc1cccc([C@@H]2C[C@H]2c2ccccc2)c1,3.7201335,3.7131826877594,True,Brc1cccc([C@@H]2C[C@H]2c2ccccc2)c1,c1ccc(C2CC2c2ccccc2)cc1,0.47727272,0.837085579479033,0.16604989998833014,0.8339501000116698
Brc1ccccc1,3.884031,3.886132717132568,True,Brc1ccccc1,c1ccccc1,0.2,0.837085579479033,0.16604989998833014,0.8339501000116698
Brc1ccccc1CCCC1CNC1,5.187869,5.205223083496094,True,Brc1ccccc1CCCC1CNC1,c1ccc(CCCC2CNC2)cc1,0.2631579,0.837085579479033,0.16604989998833014,0.8339501000116698
C#CC(C)c1ccc(F)cc1C1(c2cccc(-c3cccnc3F)c2)N=C(N)N(C)C1=O,8.049145,8.062028884887695,True,C#CC(C)c1ccc(F)cc1C1(c2cccc(-c3cccnc3F)c2)N=C(N)N(C)C1=O,O=C1NC=NC1(c1ccccc1)c1cccc(-c2cccnc2)c1,0.64179105,0.837085579479033,0.16604989998833014,0.8339501000116698
C#CCCCOc1ccc(C2(c3ccc(-c4cncnc4)cc3)N=C(N)N3CCCN=C32)cc1,8.849404,8.859628677368164,True,C#CCCCOc1ccc(C2(c3ccc(-c4cncnc4)cc3)N=C(N)N3CCCN=C32)cc1,C1=NC(c2ccccc2)(c2ccc(-c3cncnc3)cc2)C2=NCCCN12,0.5797101,0.837085579479033,0.16604989998833014,0.8339501000116698
C#CCc1ccc(-c2cccc(C3(c4cnn(CC)c4)N=C(N)N(C)C3=O)c2)cc1,7.6201973,7.60357666015625,True,C#CCc1ccc(-c2cccc(C3(c4cnn(CC)c4)N=C(N)N(C)C3=O)c2)cc1,O=C1NC=NC1(c1cn[nH]c1)c1cccc(-c2ccccc2)c1,0.7096774,0.837085579479033,0.16604989998833014,0.8339501000116698
C#Cc1cc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1-c1nccs1,8.35482,8.343130111694336,True,C#Cc1cc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1-c1nccs1,c1cnc2c(c1)C(NCCCCc1ccc(-c3nccs3)cc1)CC1(CCC1)O2,0.81914896,0.837085579479033,0.16604989998833014,0.8339501000116698
