smiles,pred_pIC50,target_pIC50
Brc1cccc(C2CCCCc3cccc(c3)CCC2)c1,6.730171,5.127996921539307
C#CC(C)(C)c1cccc(C2(NCC(O)C(Cc3cc(F)cc(F)c3)NC(=O)Cc3ccc(OC)cc3)CCCCC2)c1,5.6092105,8.143033027648926
C#CC(C)(C)c1cccc(C2(NCC(O)C(Cc3ccc(F)c(F)c3)NC(C)=O)CCCCCC2)c1,5.8085814,6.7540740966796875
C#CC(C)(C)c1cccc(C2(NCC(O)CNC(=O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,6.930201,9.848335266113281
C#CC1CC(CC(C)C)N(C(Cc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CN(C)CCN2)C1,7.2400417,7.869637966156006
C#CCNC1(c2cc(C(Cc3cc(F)cc(F)c3)NC(C)=O)cc(N3CCCC3=O)c2)CCCCC1,7.5107327,8.589325904846191
C#CCNCC(O)C(Cc1ccccc1)NC(=O)c1cc2ccc1OC1(CCC1)Cc1ccc(CC(C)(C)C)nc1-2,8.111047,8.040398597717285
C#CCNC[C@@H](O)C(Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CCC)cn3CCS(=O)(=O)N2c1cccnc1,7.7270894,7.991666316986084
C#CCNC[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)c1cc2c3c(n(CC)cc3c1)C(CC)=C2,6.213483,7.2852911949157715
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(/C(C)=N\OCCC)cc(N2CCS2(=O)=O)c1,7.293913,8.447770118713379
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c(CC)c3cn2CCS(=O)(=O)N(C)C(CC)=c13,5.1359386,8.4138822555542
C#CCNC[C@@H](O)[CH]NC(=O)C(C)NC(Cc1cc(F)cc(F)c1)c1cc(Nc2ccccc2)cc(C(=O)N(CCC)CCC)c1,5.0246067,6.696206092834473
C#CCNC[C@H](O)[C@@H](NC(=O)c1cc(N)cc(N2CCCCS2(=O)=O)c1)C(Cc1ccccc1)Cc1cc(F)cc(F)c1,7.147214,6.942320346832275
