smiles,pred_pIC50,target_pIC50
C#CC(C)C1=CCC([C@@]2(c3ccccc3)N=C(N)N(C)C2=O)=CC=C1,8.755945,5.705912113189697
C#CC(C)c1cc(NC(Cc2ccccc2)C(NC(=O)C(N)CCC(C)C)C(C)=O)cc(C(O)NC(C)CCC)c1,8.043467,5.911501884460449
C#CC(Cc1cc(C)cc(F)c1)C(O)CNC1(NC(C)=O)CCCCCc2cc(C(C)(C)C)cc1c2,6.49627,7.409973621368408
C#CC(Cc1ccc(-c2ccsc2F)cc1)N1C(=O)CCC1CNCc1cc(C(C)(C)C)ncc1O,6.6176233,8.710538864135742
C#CC(Cc1ccc(F)cc1)C(CNC1(c2cccc(C(C)(C)C)c2)CCCC1)NC(C)=O,6.450187,7.597684860229492
C#CC1=C(C(=NOCc2cc(F)cc(F)c2)C(O)CNCc2cccc(OC)c2)C=CN(S(=O)(=O)CC)C(Cc2cccc(C(C)C)c2)=C1,5.518263,7.891021728515625
C#CC1=CC(NC(=O)c2cc(F)cc(F)c2)C(O)CNC(C(O)CNCc2ccc(C(C)(C)C)cc2)CC(N2CCCCCS2(=O)=O)=CC(F)=C1,5.771759,9.750039100646973
C#CC1=CC=C(C(=O)NC2=CC3=CN=C2C3(C)C(C)(C)C)NCCCCO1,6.521755,6.499180793762207
C#CC1=CC=C(F)C=C2CC(C(C)NCC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)C[SH](=O)(C2)NCC1,5.9379234,8.484570503234863
C#CC1=CC=C2N=C(N)N(C1=NCCF)[C@@]2(C)c1cccc(-c2cccc(OC(F)F)c2)c1,7.6265516,6.261435031890869
C#CC1=CC=CC(C2(c3ccc(Br)c(C)n3)N=C(N)N(C)C2=O)=CC(Cl)=C1,7.1573606,7.031434535980225
C#CC1=CC=CC2=CC(F)=CC(F)=CC3=CC=CC=CC=CCCC(C(O)NC(CC2)C(NC(C)=O)C2NC(=O)C(C(C)C)=NC(=O)C2C1)N3S(C)(=O)=O,7.5087614,8.550758361816406
C#CC1=CC=NC(F)=Cc2cc(cc(C3(C)CCOC(=N)N3)c2)C(=O)NC1,7.1077847,7.503631591796875
C#CC1CCCC(C(=O)C(=O)C=NCc2cccc(OC)c2)CC2(CCCCC(=O)N2)C1=N,7.130767,6.513975620269775
C#CC=C1C=CC(F)=C(C2(C)N=C(N)N(C)C2=O)C(C(=O)Nc2ccccc2)N=C1,7.781034,6.339738368988037
C#CCC1=C(C2CCC2)C(c2cncnc2)=CC=CC([C@]2(C(F)F)N=C(N)N(C)C2=O)=C1,6.7025714,8.752230644226074
C#CCC1=CC(C)=CC(C2(c3cc(F)ccc3-c3cccnc3F)N=C(N)N(C)C2=O)=CC(F)=C1,6.2299695,8.805083274841309
C#CCC1=CN=CC(OC2CCCC2)=CC(CC2(NCC(O)C(NCc3cc(F)cc(F)c3)C(=O)N3CCCCC3=O)CCC2)=C1,6.754504,7.370573043823242
C#CCCCCC[C@H]1C=CC=C2C=C(C3(Cc4ccccc4)N=C(N)N(C)C3=O)[C@H]2C1,8.620739,6.01613712310791
C#CCCCOc1cccc(C2(Cc3cccc(C(C)(C)C)c3)N=C(N)OCC2Cl)c1,6.8131533,7.6934051513671875
C#CCCNC[C@H](O)[C@H](Cc1ccc(F)c(F)c1)NC(F)(Cc1ccc(F)cc1)C1=CC(=O)C=CC=CN1S(=O)(=O)c1cccc(OC)c1,6.4774528,8.638628005981445
C#CCCc1cccc(CNC[C@H](O)[C@H]2C[SH](=O)(O)CCC(NCC(C)=O)CC2C(=O)C(C)C)c1,7.2233343,6.178693771362305
C#CCOc1ccc(-c2ccc(C3=N[C@@]45CCCN=C(C4)N35)c(OC)c2)cc1,7.1459885,6.31404972076416
C#CCc1cc(C)cc(C(=O)N=C2CCCN2)c1,7.908561,5.621044158935547
C#CCc1cc(C2=CC=C2C2(c3cc(C)cc(OC(F)(F)F)c3)N=C(N)N(C)C2=O)ccn1,7.544047,8.09170150756836
C#CCc1ccc(C2NC(=O)c3ncc(CC(F)(F)F)cc3C(O)(c3ccc(C(C)(C)C)cc3)NCC2O)cc1F,7.9151945,8.317056655883789
C#CCc1ccc(CNCC(NC(=O)c2cccc(C(Cc3ccccc3)N3CCCCC3=O)c2)C(=O)O)cc1,6.754813,7.3861565589904785
C#CCc1cccc([C@]2(F)N=C(N)c3c(OC)cccc3-c3cccc2c3)c1,8.086739,7.541171550750732
C#CN1C(=O)C(c2ccc(OC(F)F)cn2)(c2ccccc2-c2cc(F)cc(C#CCC)c2)N=C1N,6.498269,8.39195728302002
C#CNC1C=C2N=C(C(NCC(Cc3cccc(-c4cccnc4)c3)NC(C)=O)[C@H](O)CNCCc3cccc(OC)c3)C=C21,8.112037,8.856999397277832
C#CNC[C@@H](O)[C@H](Cc1cc(F)cc(F)c1)[C@H](Cc1cc(F)cc(F)c1)NC(=O)NCc1ccccc1,6.94475,6.587893009185791
C#COc1cncc(C2(c3ccc(CC(C)(C)C)cc3)N=C(N)C(=O)N2)c1,8.088188,7.916075229644775
C#C[C@H](C)C(C(=O)N(C)CCc1ccccc1)C(C)[C@@]1(NCCCCOC)c2cccc(c2)S1(=O)=O,5.7022343,6.092061519622803
C#C[C@]1(CC(O)c2cccc(-c3cccnc3)c2)N=C(N)N(c2cc(F)cc(F)c2)C1=O,5.831356,7.190863609313965
C#Cc1cc(-c2ccc(C3(c4ccnnc4)N=C(N)N(C)C3=O)cc2)ccn1,7.5814495,9.191330909729004
C#Cc1cc(-c2ccccc2F)cc(C2(c3cccnc3)N=C(N)N(C)C2=O)c1,7.054055,8.899140357971191
C#Cc1cc(C(=O)C(NCCCC)C(O)C2CCCC2)cc([C@@H](O)[C@H](Cc2ccccc2)NC(C)=O)c1,6.1591177,8.226303100585938
C#Cc1cc(C(=O)NC(C)c2cccc(C)c2F)cc(C(O)CNCc2cc(OC)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,7.041395,8.440117835998535
