smiles	MW	LogP	TPSA
COc1cccc(NC(=O)c2ccc3nsnc3c2)n1	286.052	2.347	77.000
CNC(=O)C(NC(=O)c1ccc(C)o1)=C1CCC(C(C)C)C1	304.179	2.774	71.340
Cc1ccc(C(=O)NN)cc1C(=O)c1cccc2ccccc12	304.121	2.983	72.190
COc1ccc([C@H]2C(C#N)=C(N)Oc3cc(F)ccc32)cc1	296.096	3.052	68.270
CCC(=O)Nc1cccc(C(=O)Nc2ncc(C)s2)c1	289.088	3.052	71.090
CC1=C(C(=O)OC(C)(C)C)[C@@H](c2ccccc2)NC(=O)N1C	302.163	2.998	58.640
COc1ccc(N(C)C(=O)c2cccc([N+](=O)[O-])c2)c(C)c1	300.111	3.188	72.680
COC(=O)c1cc(-c2ccc(OC(C)C)cc2)nc(OC)n1	302.127	2.726	70.540
O=C(NO)c1ccc(NC(=O)c2ccccc2Cl)cc1	290.046	2.711	78.430
CC(=O)Nc1ccc(C)cc1NS(=O)(=O)c1ccccc1	304.088	2.754	75.270
O=C1CS[C@H](c2cccc([N+](=O)[O-])c2)N1Cc1ccco1	304.052	2.962	76.590
O=C(NC(=S)Nc1cc([N+](=O)[O-])ccc1Cl)C1CC1	299.013	2.471	84.270
O=C(NC1CCCCC1)c1cc(-c2ccccc2O)n[nH]1	285.148	2.845	78.010
COC(=O)/C(=C\c1ccc([N+](=O)[O-])c(C)c1)N1CCCCC1	304.142	2.903	72.680
Cc1c(O)cccc1C(=O)N/N=C/c1ccc(Cl)cc1	288.067	3.118	61.690
CSc1ccc([C@H]2C[C@@H](c3ccccc3O)NC(=O)N2)o1	304.088	3.192	74.500
Cc1cc(C)c2c(c1)OC(=O)C[C@H]2c1ccccc1[N+](=O)[O-]	297.100	3.653	69.440
CC[C@H](C)NC(=O)c1nn(CC)c(C)c1/N=N/N(CC)CC	308.232	3.080	74.880
CC(C)=NOC(=O)c1cccc(NC(=O)c2cccs2)c1	302.073	3.553	67.760
CCc1[nH]nc(O)c1C(Cl)=C(/C=C/c1ccccc1)C(=O)O	318.077	3.426	86.210
COc1cccc(C(=O)Oc2c(C)cc(C)cc2C(N)=O)c1	299.116	2.630	78.620
COc1ccc(/C=C/C(=O)Oc2ccc(C#N)cc2)cc1O	295.084	2.891	79.550
Cc1ccc(S(=O)(=O)c2cccc3nsnc23)cc1O	306.013	2.538	80.150
CNC(=O)c1cc(C(=O)Nc2ccc(C)cc2C)ccc1O	298.132	2.621	78.430
COc1ccc(NC(=O)CSc2nc(C)ccc2C#N)cc1	313.088	3.001	75.010
O=C([O-])/C=C/c1ccc(-c2cc3ccccc3o2)c(Cl)n1	298.028	2.911	66.160
Cc1cccc(S(=O)(=O)Nc2c(C)ccc(C)c2N)c1	290.109	2.995	72.190
N#CC1=C(N)Oc2cc(O)ccc2[C@H]1c1ccccc1Cl	298.051	3.264	79.270
CSc1ccc([C@H]2C(C#N)=C(N)OC3=C2C(=O)CCC3)cc1	312.093	3.223	76.110
COC(=O)CSc1c(C#N)nc(-c2ccc(C)cc2)n1C	301.088	2.532	67.910
CCOc1c(C)c(Nn2cnnc2SC)cc(C)c1O	294.115	2.596	72.200
COc1ccccc1/C(C)=N\NC(=O)c1ccc(C)cc1O	298.132	2.863	70.920
CCc1ccnc(NNC(=O)c2ccc(OC(C)C)cc2)c1	299.163	3.188	63.250
CCCc1cc(=O)oc2c1c(C)nn2-c1ccc(C)cc1N	297.148	3.130	74.050
O=C(NCc1ccco1)c1ccc(O)c(-n2cccc2)c1	282.100	2.706	67.400
COC(=O)[C@@H](Oc1ccc(C)cc1)c1cc(O)ccc1O	288.100	2.699	75.990
O=C(NCc1ccccc1)C1=C(c2ccccc2)OC1=NO	294.100	2.532	70.920
COc1cc(/C=N/c2snc(C)c2C#N)cc2c1OCOC2	315.068	2.949	76.730
C=CCN1C(=O)/C(=C\c2cccc([N+](=O)[O-])c2)N=C1C(C)C	299.127	3.018	75.810
CC(C)(Oc1ccc(-c2ccn[nH]2)cc1)c1ccc(=O)oc1	296.116	3.344	68.120
COc1cccc(OC(=O)c2c[nH]c(-c3ccccc3)n2)n1	295.096	2.700	77.100
Cc1cc(=O)oc2cc(OCC(=O)Nc3ccccc3)ccc12	309.100	3.119	68.540
C[C@H](NC(=O)c1ccc(NC(=O)c2ccco2)cc1)C1CC1	298.132	3.060	71.340
COC(=O)c1ccc(C(=O)NC2CCC(C(C)(C)C)CC2)o1	307.178	3.401	68.540
CCOC(=O)C1=C(c2ccccc2)OC(N)=C(C(C)(C)C)C1	301.168	3.598	61.550
COc1ccc([C@@H]2OC(=O)C3(CCCCC3)C(N)=C2C#N)cc1	312.147	2.980	85.340
N#Cc1ccc([C@@H]2NC(=O)c3c(sc4c3CCC4)N2)cc1	295.078	2.963	64.920
Cc1cccc(CO/C(C#N)=C/c2ccccc2C(=O)[O-])c1	292.098	2.440	73.150
CCC(=O)Nc1ccc(NC(=O)[C@H]2CCCN=C2C)cc1	287.163	2.845	70.560
Cc1ccc(S(=O)(=O)/N=C(\[O-])c2cc(C)ccc2C)cc1	302.086	2.108	69.560
C[C@H](CC(=O)Nc1ccc(N(C)C)cc1)c1ccc(N)cn1	298.179	2.862	71.250
