smiles,MW,LogP,TPSA
Brc1ccc2c(c1)=C(N/N=C/c1ccccc1NC1CCC1)N=2,368.06365864400004,2.7361000000000013,48.78
C/C(=C\n1cccc1C)NC(=O)c1ccc(C)c(N)c1,269.152812228,2.9354400000000007,60.05
C/C(=N\CC(=O)C1CC1)c1cc(Cl)c([N+](=O)[O-])s1,286.017890892,3.097800000000002,72.57
C/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1CCCCC1,300.069926464,2.9330000000000016,49.74
C/C(Cl)=C\Nc1ccc2sc(C(N)=O)c(Cl)c2c1,299.9890893,4.165600000000001,55.12
C/C=N\c1ccnc(=O)n1C(C)c1ccc(I)cc1,367.018160068,3.179400000000002,47.25
C=C(C)COc1ccc(/C=N/NC(=O)c2ccc(C)cc2)o1,298.13174243599997,3.306820000000002,63.83
C=C(C)Cc1ccc(NC(=O)CSc2ccc(O)cc2)o1,303.092914404,3.8346000000000027,62.47
C=C(C)N1CCCCN1C(=O)c1ccc(Cl)cc1,264.102940844,3.3266000000000018,23.55
C=C(C/C=N/OC(=O)c1ccc(C)s1)C1=CCS1,279.038770656,3.7761200000000033,38.66
C=C(CSc1ccccc1)N(CCO)C(=O)c1cccs1,319.070070784,3.488600000000002,40.540000000000006
C=C1C[C@H](NC(=O)C[C@H]2CCCO2)N1c1ccc(C)cc1,286.168127944,2.730220000000001,41.57
C=CC(C)N1c2ccc(Cl)cc2NC(=O)c2cccnc21,299.08253974800004,4.013300000000003,45.230000000000004
C=CC(C)Sc1ncc(N)cc1OCc1ccc(Br)cc1,364.02449626400005,4.6719000000000035,48.14
C=CC1(SC)CC2=C(C(=O)N=C2)N1c1ccc(F)cc1,288.073262256,3.146200000000001,32.67
C=CC1Cc2ccc(C)cc2NC(=S)OC1=O,247.066699656,2.593320000000001,38.33
C=CCN(CC)c1ccc(/C=N\n2cnnc(Cl)c2=O)cc1,317.104337812,2.1862000000000004,63.38
C=CCN(Cc1cccnc1)C(=O)c1cc(Cl)cc([N+](=O)[O-])c1,331.072368988,3.4716000000000022,76.34
C=CCN1C(=O)C=C1SCC(=O)Nc1ccc(F)cc1,292.068176876,2.367,49.410000000000004
C=CCN1C(C#N)=[NH+]C2=CC=C(C(=O)c3ccccc3)C21C,290.12878855209,0.9561799999999996,58.07
C=CCN1C=C(NC(C)=O)SC(C(=O)c2ccccc2)=C1,300.09324875199997,2.8805000000000005,49.410000000000004
C=CCN1c2ccccc2C(=O)c2ccccc2S1(=O)=O,299.061614276,2.612300000000001,54.45
C=CC[C@@H](C#N)Cc1ccc(-c2cccc([N+](=O)[O-])c2)cc1,292.121177752,4.520180000000004,66.92999999999999
C=CC[C@H](C)N1CCN(c2ccc(Br)cc2)CC1,308.088810772,3.535700000000002,6.48
C=CC[C@H](C)NC(=O)Nc1ccc(C(=O)NC(C)C)cc1,289.179026976,2.9109000000000007,70.23
C=CC[C@H](C)Oc1ccc(C(=O)N2C(=O)C2Cl)cc1,279.066220988,2.577300000000001,46.38
C=CCc1cc(NC(=O)Cc2ccc(Cl)cc2)no1,276.066555336,3.237700000000001,55.13
C=CCc1ccc(OCc2cnnc([N+](=O)[O-])c2C)cc1,285.11134134,3.000720000000001,78.15
C=CCn1c(=O)c2cccc(O)c3ccccc3c(=O)c1=2,279.08954327600003,1.9780799999999998,59.300000000000004
C=CCn1cc(C)cc2cc(CC(=O)Nc3ccc(C)cc3)n1-2,307.168462292,3.7006400000000026,38.96
C=Cc1ccc(OC)c(NC(=O)C(C)(C)Sc2ccco2)c1,317.108564468,4.440600000000003,51.47
CC(=O)C(=O)O[C@H](C)c1ccc(NC(=O)N2CCC2)cc1,290.126657056,2.1174,75.71
CC(=O)C1=C(C)OC(c2cccc(Cl)c2)[C@H]1c1ccc(O)cc1,328.086622084,4.7637000000000045,46.53
CC(=O)C1=CN=C(Nc2ccccc2)[C@@H]1c1ccc(Cl)cc1,310.08729078000005,4.420700000000003,41.46
CC(=O)CC(=S)N1CCC(=O)N1c1ccc(Cl)cc1,296.038626336,2.600200000000001,40.620000000000005
CC(=O)CC[C@@H](NC(=O)c1cccnc1)[C@@H]1CCCO1,276.1473925,1.7282,68.29
CC(=O)COc1ccc(C)cc1SC(=O)Nc1cccnc1,316.088163372,3.6820200000000014,68.29
CC(=O)CSc1cccc(C[C@@H]2CCCNC2=O)n1,278.108898816,1.8314000000000001,59.06
CC(=O)CSc1nnc(-c2ccccc2O)s1,266.01836956,2.5918000000000014,63.08
CC(=O)C[C@@H](Nc1ccc(Br)cc1)C(C#N)=C(N)O,323.026938788,2.4605799999999998,99.14
CC(=O)C[C@H]1C(=O)N(Cc2ccccc2)Sc2cccnc21,312.093248752,3.193800000000002,50.27
CC(=O)Cc1ccc2c(c1)S(=O)(=O)c1ccccc1C2,286.066365308,2.5551000000000013,51.21
CC(=O)N(Cc1ccc(Cl)cc1)[C@H](C)SC(N)=O,286.0542764,2.846400000000001,63.4
CC(=O)N(Cc1ccccc1)C(=O)[C@@H](C)c1ccccc1,281.14157884800005,3.365400000000003,37.38
CC(=O)N1C(=O)C(C)(c2cccc(C)c2)[C@@H]1c1cccc(O)c1,309.136493468,3.088320000000002,57.61
CC(=O)N1C(c2ccccc2)=C([O-])/C1=C/c1cccc(O)c1,292.09791688791,2.3243,63.60000000000001
CC(=O)N1CCCc2[nH]c(=O)c(nc2-c2ccccc2)C1,283.132076784,1.7315999999999998,66.06
CC(=O)N1[C@@H](c2ccccc2)C[C@H]1c1ccc(O)c(C)c1,281.14157884800005,3.7352200000000026,40.540000000000006
CC(=O)NCCc1ccc(NC(=O)c2ccc(Cl)cc2)cc1,316.097855464,3.270900000000002,58.2
CC(=O)NNC(=S)NC(=O)Cc1ccc(-c2cccnc2)cc1,328.099396752,1.3329,83.12
CC(=O)N[C@H](C)Oc1ccc(NC(=O)C2CCCC2)cc1C,304.178692628,2.9846200000000014,67.43
CC(=O)N[C@H]1C[C@@](O)(C(=O)c2ccc(CCl)cc2)S1,299.038291988,1.8958000000000002,66.4
CC(=O)Nc1cc(Br)c(C(=S)NCc2ccccc2)o1,351.988110756,3.4658000000000015,54.27
CC(=O)Nc1ccc(/C=N/c2ccc(O)cc2)cc1,254.105527688,3.1012000000000013,61.69
CC(=O)Nc1ccc(/N=C/c2cc(Br)ccn2)cc1,317.016374104,3.5531000000000015,54.35
CC(=O)Nc1ccc(C(=O)N2Cc3ccccc3C2)cc1,280.121177752,2.801000000000001,49.410000000000004
CC(=O)Nc1ccc(C(=O)NCc2ccc(C)cc2N)cc1,297.14772684800005,2.4656200000000004,84.22
CC(=O)Nc1ccc(C(=O)Nc2ccc(C)cc2)nc1C,283.132076784,2.9091400000000016,71.09
CC(=O)Nc1ccc(C)nc1[N+](C)(C)Oc1ccccc1,286.15500330009,2.909320000000001,51.22
CC(=O)Nc1ccc(C2=NN(Cc3ccccc3)CC2)s1,299.109233164,3.3165000000000022,44.7
CC(=O)Nc1ccc(Oc2cc3nc(n2)C[C@H](C)C3)cc1,283.132076784,2.9620000000000015,64.11
